id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_11206008,Директор радио,11206008,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206009,Директор телевизия,11206009,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207010,Директор банка,11207010,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207011,Заместник-директор банка,11207011,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207012,Заместник-генерален директор,11207012,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206013,Заместник-директор организация,11206013,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11206014,Заместник-директор предприятие,11206014,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207015,Заместник-ръководител кооперативно предприятие,11207015,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207016,Заместник-председател управителен съвет съвет на директорите търговско дружество,11207016,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207017,Заместник-изпълнителен директор,11207017,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207018,Председател управителен съвет (съвет на директорите) на търговско дружество,11207018,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207019,Председател Надзорен съвет в търговско дружество,11207019,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207020,Член съвет на директорите,11207020,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207021,Член управителен съвет,11207021,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207022,Прокурист (търговски управител),11207022,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207023,Управител,11207023,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207024,Управител застрахователно дружество,11207024,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207025,Член Надзорен съвет в търговско дружество,11207025,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207026,Главно надзорно лице,11207026,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
bg_ncop_11207027,Заместник-управител,11207027,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1120
