id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.43565,43565,43565,l10n_bg_city.village,Leshnitsa,Лешница,BLG40-23,cityhall,base.bg,2808,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.43582,43582,43582,l10n_bg_city.village,Leshtak,Лещак,SML16-24,cityhall,base.bg,4929,False,l10n_bg_city.S67653,l10n_bg_city.46045,
l10n_bg_city.43596,43596,43596,l10n_bg_city.village,Leshtarka,Лещарка,KRZ15-23,cityhall,base.bg,6967,False,l10n_bg_city.S40909,l10n_bg_city.39970,
l10n_bg_city.43623,43623,43623,l10n_bg_city.village,Livada,Ливада,BGS08-05,cityhall,base.bg,8107,False,l10n_bg_city.S07079,l10n_bg_city.35883,
l10n_bg_city.43654,43654,43654,l10n_bg_city.village,Lik,Лик,VRC27-15,cityhall,base.bg,3168,False,l10n_bg_city.S12259,l10n_bg_city.47714,
l10n_bg_city.43685,43685,43685,l10n_bg_city.village,Lilyak,Лиляк,TGV35-18,cityhall,base.bg,7760,False,l10n_bg_city.S73626,l10n_bg_city.73626,
l10n_bg_city.43699,43699,43699,l10n_bg_city.village,Lilyanovo,Лиляново,BLG40-24,cityhall,base.bg,2809,False,l10n_bg_city.S04279,l10n_bg_city.65334,
l10n_bg_city.43709,43709,43709,l10n_bg_city.village,Lilyach,Лиляч,KNL31-09,cityhall,base.bg,2597,False,l10n_bg_city.S41112,l10n_bg_city.51216,
l10n_bg_city.43712,43712,43712,l10n_bg_city.village,Lilyache,Лиляче,VRC10-11,cityhall,base.bg,3051,False,l10n_bg_city.S12259,l10n_bg_city.12259,
l10n_bg_city.43730,43730,43730,l10n_bg_city.village,Lipen,Липен,MON29-15,cityhall,base.bg,3489,False,l10n_bg_city.S48489,l10n_bg_city.48489,
l10n_bg_city.43760,43760,43760,l10n_bg_city.village,Lipnik,Липник,RAZ26-07,cityhall,base.bg,7242,False,l10n_bg_city.S61710,l10n_bg_city.61710,
l10n_bg_city.43774,43774,43774,l10n_bg_city.village,Lipnitsa,Липница,VRC28-03,cityhall,base.bg,3352,False,l10n_bg_city.S12259,l10n_bg_city.48043,
