id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office
l10n_bg.04697,04697,l10n_bg_city.village,Богойна,PER51-00,normal,base.bg,,False
l10n_bg.04724,04724,l10n_bg_city.village,Богомил,HKV33-00,normal,base.bg,,False
l10n_bg.04755,04755,l10n_bg_city.village,Богомолско,TGV02-00,normal,base.bg,,False
l10n_bg.04772,04772,l10n_bg_city.village,Богорово,SLS31-00,normal,base.bg,,False
l10n_bg.04786,04786,l10n_bg_city.village,Богорово,JAM22-00,normal,base.bg,,False
l10n_bg.66322,66322,l10n_bg_city.village,Богородица,BLG33-00,normal,base.bg,,False
l10n_bg.04813,04813,l10n_bg_city.village,Богьовци,SFO26-00,normal,base.bg,,False
l10n_bg.04861,04861,l10n_bg_city.village,Боево,SML27-00,normal,base.bg,,False
l10n_bg.04892,04892,l10n_bg_city.village,Боерица,SFO20-00,normal,base.bg,,False
l10n_bg.04927,04927,l10n_bg_city.village,Божаново,DOB29-00,normal,base.bg,,False
l10n_bg.04933,04933,l10n_bg_city.village,Бождово,BLG40-00,normal,base.bg,,False
l10n_bg.04950,04950,l10n_bg_city.village,Боженица,SFO07-00,normal,base.bg,,False
l10n_bg.04964,04964,l10n_bg_city.village,Боженците,GAB05-00,normal,base.bg,,False
l10n_bg.04981,04981,l10n_bg_city.village,Божичен,RSE13-00,normal,base.bg,,False
l10n_bg.05009,05009,l10n_bg_city.village,Божурец,DOB17-00,normal,base.bg,,False
l10n_bg.05044,05044,l10n_bg_city.village,Божурлук,PVN16-00,normal,base.bg,,False
l10n_bg.05092,05092,l10n_bg_city.village,Бозаджии,SLV20-00,normal,base.bg,,False
l10n_bg.07853,07853,l10n_bg_city.village,Бозьова,PAZ08-00,normal,base.bg,,False
l10n_bg.05147,05147,l10n_bg_city.village,Бойковец,SFO18-00,normal,base.bg,,False
l10n_bg.05150,05150,l10n_bg_city.village,Бойково,PDV26-00,normal,base.bg,,False
l10n_bg.05164,05164,l10n_bg_city.village,Бойковци,VTR13-00,normal,base.bg,,False
l10n_bg.05181,05181,l10n_bg_city.village,Бойник,KRZ15-42,normal,base.bg,,False
l10n_bg.05219,05219,l10n_bg_city.village,Бойновци,GAB05-00,normal,base.bg,,False
l10n_bg.05222,05222,l10n_bg_city.village,Бойчеви колиби,VTR04-00,normal,base.bg,,False
l10n_bg.07908,07908,l10n_bg_city.village,Бойчета,GAB05-27,normal,base.bg,,False
l10n_bg.05240,05240,l10n_bg_city.village,Бойчовци,VTR04-09,normal,base.bg,,False
l10n_bg.05253,05253,l10n_bg_city.village,Бокиловци,MON02-00,normal,base.bg,,False
l10n_bg.05267,05267,l10n_bg_city.village,Болтата,GAB05-00,normal,base.bg,,False
l10n_bg.07870,07870,l10n_bg_city.village,Бор,PDV01-00,normal,base.bg,,False
l10n_bg.05387,05387,l10n_bg_city.village,Борика,SML16-00,normal,base.bg,,False
l10n_bg.05390,05390,l10n_bg_city.village,Борика,SFO20-00,normal,base.bg,,False
l10n_bg.05400,05400,l10n_bg_city.village,Борики,GAB05-00,normal,base.bg,,False
l10n_bg.05414,05414,l10n_bg_city.village,Бориково,SML31-00,normal,base.bg,,False
l10n_bg.05520,05520,l10n_bg_city.village,Борисово,JAM07-00,normal,base.bg,,False
l10n_bg.05534,05534,l10n_bg_city.village,Борнарево,PER36-00,normal,base.bg,,False
l10n_bg.05565,05565,l10n_bg_city.village,Боровец,KNL27-00,normal,base.bg,,False
l10n_bg.05596,05596,l10n_bg_city.village,Боровичене,BLG33-00,normal,base.bg,,False
l10n_bg.05623,05623,l10n_bg_city.village,Борово,PDV15-00,normal,base.bg,,False
l10n_bg.05637,05637,l10n_bg_city.village,Борово,SZR31-00,normal,base.bg,,False
l10n_bg.05640,05640,l10n_bg_city.village,Боровско,KRZ35-36,normal,base.bg,,False
l10n_bg.05668,05668,l10n_bg_city.village,Борското,GAB05-07,normal,base.bg,,False
l10n_bg.05671,05671,l10n_bg_city.village,Борущица,SZR22-00,normal,base.bg,,False
l10n_bg.05709,05709,l10n_bg_city.village,Босевци,VTR13-01,normal,base.bg,,False
l10n_bg.05712,05712,l10n_bg_city.village,Босилица,KRZ35-36,normal,base.bg,,False
l10n_bg.05726,05726,l10n_bg_city.village,Босилково,BGS23-00,normal,base.bg,,False
l10n_bg.05737,05737,l10n_bg_city.village,Босилково,SML02-00,normal,base.bg,,False
l10n_bg.05760,05760,l10n_bg_city.village,Боснек,PER32-00,normal,base.bg,,False
l10n_bg.05832,05832,l10n_bg_city.village,Ботево,VID09-00,normal,base.bg,,False
l10n_bg.05846,05846,l10n_bg_city.village,Ботево,VRC35-00,normal,base.bg,,False
l10n_bg.05852,05852,l10n_bg_city.village,Ботево,MON11-00,normal,base.bg,,False
l10n_bg.05904,05904,l10n_bg_city.village,Ботурче,HKV11-04,normal,base.bg,,False
l10n_bg.05918,05918,l10n_bg_city.village,Бохова,PER51-00,normal,base.bg,,False
l10n_bg.05935,05935,l10n_bg_city.village,Бочковци,VTR04-00,normal,base.bg,,False
l10n_bg.05997,05997,l10n_bg_city.village,Бояново,VID15-00,normal,base.bg,,False
l10n_bg.06015,06015,l10n_bg_city.village,Бояновци,VTR04-00,normal,base.bg,,False
l10n_bg.06046,06046,l10n_bg_city.village,Бракница,TGV24-00,normal,base.bg,,False
l10n_bg.06050,06050,l10n_bg_city.village,Бракьовци,SFO09-00,normal,base.bg,,False
l10n_bg.06118,06118,l10n_bg_city.village,Бранковци,VTR04-00,normal,base.bg,,False
l10n_bg.06121,06121,l10n_bg_city.village,Бранковци,VID15-00,normal,base.bg,,False
l10n_bg.06135,06135,l10n_bg_city.village,Братан,SLV11-00,normal,base.bg,,False
l10n_bg.06175,06175,l10n_bg_city.village,Братушково,SFO45-00,normal,base.bg,,False
l10n_bg.07939,07939,l10n_bg_city.village,Брежана,KRZ08-18,normal,base.bg,,False
l10n_bg.06241,06241,l10n_bg_city.village,Брежниците,GAB35-04,normal,base.bg,,False
l10n_bg.06255,06255,l10n_bg_city.village,Бреза,SML27-09,normal,base.bg,,False
l10n_bg.06313,06313,l10n_bg_city.village,Брезнишки извор,PER08-00,normal,base.bg,,False
l10n_bg.06327,06327,l10n_bg_city.village,Брезовдол,SFO43-00,normal,base.bg,,False
l10n_bg.06344,06344,l10n_bg_city.village,Брезово,VTR13-00,normal,base.bg,,False
l10n_bg.06392,06392,l10n_bg_city.village,Брест,KNL50-00,normal,base.bg,,False
l10n_bg.06421,06421,l10n_bg_city.village,Брестака,SFO56-00,normal,base.bg,,False
l10n_bg.06464,06464,l10n_bg_city.village,Брестница,DOB27-00,normal,base.bg,,False
l10n_bg.06478,06478,l10n_bg_city.village,Брестова,SZR37-00,normal,base.bg,,False
l10n_bg.06522,06522,l10n_bg_city.village,Брестово,BLG44-00,normal,base.bg,,False
l10n_bg.06536,06536,l10n_bg_city.village,Брестово,LOV18-00,normal,base.bg,,False
l10n_bg.06584,06584,l10n_bg_city.village,Брусевци,HKV18-00,normal,base.bg,,False
l10n_bg.06625,06625,l10n_bg_city.village,Брусино,HKV11-16,normal,base.bg,,False
l10n_bg.06639,06639,l10n_bg_city.village,Брусник,PER08-00,normal,base.bg,,False
l10n_bg.06642,06642,l10n_bg_city.village,Брънеците,GAB05-09,normal,base.bg,,False
l10n_bg.06662,06662,l10n_bg_city.village,Бръчковци,VTR13-00,normal,base.bg,,False
l10n_bg.06687,06687,l10n_bg_city.village,Бръшлян,BGS12-00,normal,base.bg,,False
l10n_bg.06793,06793,l10n_bg_city.village,Брястово,DOB03-03,normal,base.bg,,False
l10n_bg.06817,06817,l10n_bg_city.village,Бубино,HKV11-00,normal,base.bg,,False
l10n_bg.06851,06851,l10n_bg_city.village,Бузяковци,SFO20-00,normal,base.bg,,False
l10n_bg.06919,06919,l10n_bg_city.village,Букак,TGV02-00,normal,base.bg,,False
l10n_bg.06923,06923,l10n_bg_city.village,Буката,SML31-00,normal,base.bg,,False
l10n_bg.02988,02988,l10n_bg_city.village,Букаците,SML31-00,normal,base.bg,,False
l10n_bg.06940,06940,l10n_bg_city.village,Буковец,VTR04-00,normal,base.bg,,False
