id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.63046,63046,l10n_bg_city.village,Rosen,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.63055,63055,l10n_bg_city.village,Rosenovo,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.63104,63104,l10n_bg_city.village,Rositsa,TGV22-27,l10n_bg.S73626,l10n_bg.53535,l10n_bg.55327,normal,base.bg
l10n_bg.63118,63118,l10n_bg_city.village,Rosno,VTR14-00,l10n_bg.S10447,l10n_bg.30962,,normal,base.bg
l10n_bg.63121,63121,l10n_bg_city.village,Rosoman,SFO06-00,l10n_bg.S68134,l10n_bg.05027,,normal,base.bg
l10n_bg.63210,63210,l10n_bg_city.village,Ruevtsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.63272,63272,l10n_bg_city.village,Ruzhitsa,JAM03-00,l10n_bg.S87374,l10n_bg.05284,,normal,base.bg
l10n_bg.63296,63296,l10n_bg_city.village,Ruychovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.63301,63301,l10n_bg_city.village,Rumanya,SZR31-00,l10n_bg.S68850,l10n_bg.68850,,normal,base.bg
l10n_bg.63330,63330,l10n_bg_city.village,Runya,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.63392,63392,l10n_bg_city.village,Rusalina,KRZ35-36,l10n_bg.S40909,l10n_bg.81236,l10n_bg.80830,normal,base.bg
l10n_bg.63447,63447,l10n_bg_city.village,Rusinovtsi,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.63464,63464,l10n_bg_city.village,Ruskovtsi,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.63481,63481,l10n_bg_city.village,Rustan,SML16-17,l10n_bg.S67653,l10n_bg.46045,l10n_bg.68451,normal,base.bg
l10n_bg.63495,63495,l10n_bg_city.village,Ruhovtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.63519,63519,l10n_bg_city.village,Razhavets,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.63522,63522,l10n_bg_city.village,Razhana,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.63608,63608,l10n_bg_city.village,Rasovo,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.63611,63611,l10n_bg_city.village,Rat,KRZ08-12,l10n_bg.S40909,l10n_bg.20746,l10n_bg.57947,normal,base.bg
l10n_bg.63690,63690,l10n_bg_city.village,Ryazkovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.65047,65047,l10n_bg_city.village,Savoyski,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.65084,65084,l10n_bg_city.village,Sadovik,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.65142,65142,l10n_bg_city.village,Sazhdenik,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.65156,65156,l10n_bg_city.village,Sakartsi,HKV32-16,l10n_bg.S77195,l10n_bg.72761,l10n_bg.77325,normal,base.bg
l10n_bg.65162,65162,l10n_bg_city.village,Salasuka,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.65259,65259,l10n_bg_city.village,Samotino,VAR05-00,l10n_bg.S10135,l10n_bg.07598,,normal,base.bg
l10n_bg.65262,65262,l10n_bg_city.village,Samsiite,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.65288,65288,l10n_bg_city.village,Samuilova krepost,BLG33-00,l10n_bg.S04279,l10n_bg.56126,,normal,base.bg
l10n_bg.65351,65351,l10n_bg_city.village,San-Stefano,BGS09-00,l10n_bg.S07079,l10n_bg.36525,,normal,base.bg
l10n_bg.65396,65396,l10n_bg_city.village,Saraevo,VRC28-00,l10n_bg.S12259,l10n_bg.48043,,normal,base.bg
l10n_bg.65406,65406,l10n_bg_city.village,Saransko,JAM22-00,l10n_bg.S87374,l10n_bg.69660,,normal,base.bg
l10n_bg.65454,65454,l10n_bg_city.village,Sbor,KRZ15-00,l10n_bg.S40909,l10n_bg.39970,,normal,base.bg
l10n_bg.65485,65485,l10n_bg_city.village,Sborino,HKV11-16,l10n_bg.S77195,l10n_bg.32024,l10n_bg.56633,normal,base.bg
l10n_bg.87816,87816,l10n_bg_city.village,Sveti Spas,SFO59-00,l10n_bg.S68134,l10n_bg.22006,,normal,base.bg
l10n_bg.35016,35016,l10n_bg_city.village,Svetlen,KRZ14-26,l10n_bg.S40909,l10n_bg.36926,l10n_bg.47891,normal,base.bg
l10n_bg.65574,65574,l10n_bg_city.village,Svetlina,HKV09-00,l10n_bg.S77195,l10n_bg.21052,,normal,base.bg
l10n_bg.65588,65588,l10n_bg_city.village,Svetlina,HKV32-00,l10n_bg.S77195,l10n_bg.72761,,normal,base.bg
l10n_bg.65591,65591,l10n_bg_city.village,Svetlya,PER22-00,l10n_bg.S55871,l10n_bg.37513,,normal,base.bg
l10n_bg.65632,65632,l10n_bg_city.village,Svetoslavtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.65680,65680,l10n_bg_city.village,Svinarski dol,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.65735,65735,l10n_bg_city.village,Svirtsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.65752,65752,l10n_bg_city.village,Svirchovo,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.65855,65855,l10n_bg_city.village,Svoboditsa,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.65872,65872,l10n_bg_city.village,Svode,SFO34-00,l10n_bg.S68134,l10n_bg.58030,,normal,base.bg
l10n_bg.65930,65930,l10n_bg_city.village,Sedelets,BLG49-00,l10n_bg.S04279,l10n_bg.69969,,normal,base.bg
l10n_bg.65958,65958,l10n_bg_city.village,Sedlarevo,SLV11-00,l10n_bg.S67338,l10n_bg.39030,,normal,base.bg
l10n_bg.65989,65989,l10n_bg_city.village,Sedyankovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.66007,66007,l10n_bg_city.village,Seykovtsi,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.66010,66010,l10n_bg_city.village,Seymenite,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.66024,66024,l10n_bg_city.village,Sekirka,KRZ14-35,l10n_bg.S40909,l10n_bg.36926,l10n_bg.65228,normal,base.bg
l10n_bg.66069,66069,l10n_bg_city.village,Selishte,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.70799,70799,l10n_bg_city.village,Selishte,GAB29-00,l10n_bg.S14218,l10n_bg.65927,,normal,base.bg
l10n_bg.66103,66103,l10n_bg_city.village,Seltse,SZR22-00,l10n_bg.S68850,l10n_bg.49494,,normal,base.bg
l10n_bg.66144,66144,l10n_bg_city.village,Selyanin,SFO20-06,l10n_bg.S68134,l10n_bg.32901,l10n_bg.10029,normal,base.bg
l10n_bg.66161,66161,l10n_bg_city.village,Semerdzhiite,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.66189,66189,l10n_bg_city.village,Semkovtsi,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.66233,66233,l10n_bg_city.village,Senoklas,HKV18-00,l10n_bg.S77195,l10n_bg.46084,,normal,base.bg
l10n_bg.66247,66247,l10n_bg_city.village,Senokos,BLG44-00,l10n_bg.S04279,l10n_bg.66460,,normal,base.bg
l10n_bg.70785,70785,l10n_bg_city.village,Sentse,KRZ21-00,l10n_bg.S40909,l10n_bg.48996,,normal,base.bg
l10n_bg.66344,66344,l10n_bg_city.village,Sechen kamak,GAB35-04,l10n_bg.S14218,l10n_bg.73403,l10n_bg.56719,normal,base.bg
l10n_bg.66398,66398,l10n_bg_city.village,Siv kladenets,HKV11-00,l10n_bg.S77195,l10n_bg.32024,,normal,base.bg
l10n_bg.70737,70737,l10n_bg_city.village,Sini vrah,PDV01-00,l10n_bg.S56784,l10n_bg.00702,,normal,base.bg
l10n_bg.66585,66585,l10n_bg_city.village,Sinyo kamene,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.66620,66620,l10n_bg_city.village,Sirakovo,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.66651,66651,l10n_bg_city.village,Sitovo,PDV26-00,l10n_bg.S56784,l10n_bg.56784,,normal,base.bg
l10n_bg.66679,66679,l10n_bg_city.village,Sitovo,JAM03-00,l10n_bg.S87374,l10n_bg.05284,,normal,base.bg
l10n_bg.66682,66682,l10n_bg_city.village,Skala,BGS23-19,l10n_bg.S07079,l10n_bg.70247,l10n_bg.67115,normal,base.bg
l10n_bg.66768,66768,l10n_bg_city.village,Skalsko,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.66771,66771,l10n_bg_city.village,Skandaloto,LOV02-00,l10n_bg.S43952,l10n_bg.52218,,normal,base.bg
l10n_bg.66809,66809,l10n_bg_city.village,Skobelevo,PDV26-00,l10n_bg.S56784,l10n_bg.56784,,normal,base.bg
l10n_bg.66843,66843,l10n_bg_city.village,Skomlya,VID16-00,l10n_bg.S10971,l10n_bg.21097,,normal,base.bg
l10n_bg.66857,66857,l10n_bg_city.village,Skortsite,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.66888,66888,l10n_bg_city.village,Skrino,KNL05-00,l10n_bg.S41112,l10n_bg.04532,,normal,base.bg
l10n_bg.66977,66977,l10n_bg_city.village,Slaveykovo,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
