id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.02659,02659,l10n_bg_city.town,Банкя,SOF46-00,l10n_bg.S68134,l10n_bg.68134,,normal,base.bg
l10n_bg.02662,02662,l10n_bg_city.village,Баново,VAR26-00,l10n_bg.S10135,l10n_bg.70175,,normal,base.bg
l10n_bg.02689,02689,l10n_bg_city.village,Банчовци,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.02806,02806,l10n_bg_city.village,Баскалци,BLG33-00,l10n_bg.S04279,l10n_bg.56126,,normal,base.bg
l10n_bg.02899,02899,l10n_bg_city.village,Батулия,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.02926,02926,l10n_bg_city.village,Бахалин,SFO45-00,l10n_bg.S68134,l10n_bg.67372,,normal,base.bg
l10n_bg.02943,02943,l10n_bg_city.village,Бахреци,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.03023,03023,l10n_bg_city.village,Бащино,SZR23-00,l10n_bg.S68850,l10n_bg.53576,,normal,base.bg
l10n_bg.03040,03040,l10n_bg_city.village,Бдинци,DOB15-00,l10n_bg.S72624,l10n_bg.72624,,normal,base.bg
l10n_bg.03126,03126,l10n_bg_city.village,Беджене,SHU22-00,l10n_bg.S83510,l10n_bg.52009,,normal,base.bg
l10n_bg.03157,03157,l10n_bg_city.village,Бежаново,DOB12-00,l10n_bg.S72624,l10n_bg.14711,,normal,base.bg
l10n_bg.03188,03188,l10n_bg_city.village,Безводно,KRZ35-00,l10n_bg.S40909,l10n_bg.81236,,normal,base.bg
l10n_bg.03232,03232,l10n_bg_city.village,Бейковци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.03246,03246,l10n_bg_city.village,Бекриите,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.03263,03263,l10n_bg_city.village,Бела,VID16-00,l10n_bg.S10971,l10n_bg.21097,,normal,base.bg
l10n_bg.03277,03277,l10n_bg_city.village,Беланица,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.03321,03321,l10n_bg_city.village,Белев дол,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.03335,03335,l10n_bg_city.village,Белевехчево,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
l10n_bg.03349,03349,l10n_bg_city.village,Белеврен,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.03383,03383,l10n_bg_city.village,Бели брег,MON04-00,l10n_bg.S48489,l10n_bg.05236,,normal,base.bg
l10n_bg.03407,03407,l10n_bg_city.village,Бели бряг,SZR27-00,l10n_bg.S68850,l10n_bg.61460,,normal,base.bg
l10n_bg.03424,03424,l10n_bg_city.village,Бели дол,HKV11-04,l10n_bg.S77195,l10n_bg.32024,l10n_bg.18054,normal,base.bg
l10n_bg.03455,03455,l10n_bg_city.village,Белила,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.03513,03513,l10n_bg_city.village,Белица,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.07960,07960,l10n_bg_city.village,Белица,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.03650,03650,l10n_bg_city.village,Беломъжите,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.03753,03753,l10n_bg_city.village,Белчевци,VTR04-09,l10n_bg.S10447,l10n_bg.10447,l10n_bg.12098,normal,base.bg
l10n_bg.03770,03770,l10n_bg_city.village,Белчински бани,SFO39-03,l10n_bg.S68134,l10n_bg.65231,l10n_bg.03767,normal,base.bg
l10n_bg.03784,03784,l10n_bg_city.village,Бельово,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
