code,name,category,description
-110214,ERR_NAP_WRONG_PSTYPE,NAP SERVER ERRORS,NAP server error: Wrong PS type
-110215,ERR_NAP_DEREG_ON_SERVER,NAP SERVER ERRORS,NAP server error: Deregistered in NAP
-110216,ERR_NAP_WRONG_IMSI,NAP SERVER ERRORS,NAP server error: Wrong IMSI number
-110217,ERR_NAP_BLOCKED_MAX_ZERRORS,NAP SERVER ERRORS,NAP server error: Device is blocked( maximum Z-reports )
-110218,ERR_NAP_WRONG_FDTYPE,NAP SERVER ERRORS,NAP server error: Wrong FD( Fiscal device ) type
-110219,ERR_NAP_BLOCKED_BY_SERVER,NAP SERVER ERRORS,NAP server error: The ECR is blocked by server
-110220,ERR_NAP_BLOCKED_ERROR_FROM_SERVER,NAP SERVER ERRORS,NAP server error: The ECR is blocked - server error
-110221,ERR_NAP_NO_SERVER_ADDRESS,NAP SERVER ERRORS,NAP server error: No server address
-110222,ERR_NAP_NO_REGISTRATIONS_POSSIBLE,NAP SERVER ERRORS,NAP server error: Max. registrations reached.
-110223,ERR_NAP_INVALID_OPERATOR_INN,NAP SERVER ERRORS,Invalid INN of the cashier
-110224,ERR_NAP_INVALID_SERVER_INN,NAP SERVER ERRORS,Invalid INN of the server
-110225,ERR_NAP_BLOCKED_MAX_SELLERRORS,NAP SERVER ERRORS,Device is blocked( unsent sales documents )
-110226,ERR_NAP_BLOCKED_24H,NAP SERVER ERRORS,Communication with NAP server is blocked. More than 24 hours from last sent receipt.
-110300,ERR_WORK_INVALID_FILE,WORK_INVALID,Working error: Invalid file
-110301,ERR_WORK_INVALID_PARAM,WORK_INVALID,Working error: Invalid parameters
-110500,ERR_MODEM_CTRL,MODEM ERRORS,Modem error: error in communication between device and modem
-110501,ERR_MODEM_NO_SIM,MODEM ERRORS,Modem error: No SIM card
-110502,ERR_MODEM_PIN,MODEM ERRORS,Modem error: Wrong PIN of SIM
-110503,ERR_MODEM_ATTACH,MODEM ERRORS,Modem error: Cannot register to mobile network
-110504,ERR_MODEM_PPP,MODEM ERRORS,Modem error: No PPP connection( cannot connect )
-110505,ERR_MODEM_CONFIG,MODEM ERRORS,Modem error: Wrong modem configuration( for example - no programmed apn )
-110506,ERR_MODEM_WAIT_INIT,MODEM ERRORS,Modem error: Modem initializing
-110507,ERR_MODEM_NOTREADY,MODEM ERRORS,Modem error: Modem is not ready
-110508,ERR_MODEM_REMOVE_SIM,MODEM ERRORS,Modem error: Remove SIM card
-110509,ERR_MODEM_CELL_FOUND,MODEM ERRORS,Modem error: Modem found a cell
-110510,ERR_MODEM_CELL_NOTFOUND,MODEM ERRORS,Modem error: Modem does not find a cell
-110511,ERR_MODEM_LOT_DAYS_FAIL,MODEM ERRORS,Modem error: Failed lot days
-110512,ERR_MODEM_PPP_DIFFERENT_APN,MODEM ERRORS,Modem error: Already connected to a different APN when a PPP connection is started
-110601,ERR_MODEM_CONNECT_AP,WIFI ERRORS,Modem error: Device is not connected to AP( access point )
-110700,ERR_NET_DNS_RESOLVE,NETWORK ERRORS,Network error: Cannot resolve address
-110701,ERR_NET_SOCKET,NETWORK ERRORS,Network error: Cannot open socket for communication with server
-110702,ERR_NET_CONNECTION,NETWORK ERRORS,Network error: Connection error( cannot connect to a server )
-110703,ERR_NET_CONFIG,NETWORK ERRORS,Network error: Config error( for example: no server address )
-110704,ERR_NET_SOCKET_CONNECTED,NETWORK ERRORS,Network error: Connection socket is already opened
-110705,ERR_NET_SSL_ERROR,NETWORK ERRORS,Network error: SSL communication error( something went wrong in cryptographic protocol )
-110706,ERR_NET_HTTP_ERROR,NETWORK ERRORS,Network error: HTTP communication error( something went wrong in http protocol )
-110800,ERR_DT_OK,TAX_TERMINAL_ERRORS,Tax terminal error: No error
-110801,ERR_DT_UNKNOWN_ID,TAX_TERMINAL_ERRORS,Tax terminal error: Unknown ID
-110802,ERR_DT_INVALID_TOKEN,TAX_TERMINAL_ERRORS,Tax terminal error: Invalid token( key from the server )
-110803,ERR_DT_PROTOCOL_ERROR,TAX_TERMINAL_ERRORS,Tax terminal error: Protocol error
-110804,ERR_DT_UNKNOWN_COMMAND,TAX_TERMINAL_ERRORS,Tax terminal error: The command is unknown
-110805,ERR_DT_UNSUPPORTED_COMMAND,TAX_TERMINAL_ERRORS,Tax terminal error: The command is not supported
-110806,ERR_DT_INVALID_CONFIGURATION,TAX_TERMINAL_ERRORS,Tax terminal error: Invalid configuration
-110807,ERR_DT_SSL_IS_NOT_ALLOWED,TAX_TERMINAL_ERRORS,Tax terminal error: SSL is not allowed
-110808,ERR_DT_INVALID_REQUEST_NUMBER,TAX_TERMINAL_ERRORS,Tax terminal error: Invalid request number
-110809,ERR_DT_INVALID_RETRY_REQUEST,TAX_TERMINAL_ERRORS,Tax terminal error: Invalid retry request
-110810,ERR_DT_CANT_CANCEL_TICKET,TAX_TERMINAL_ERRORS,Tax terminal error: Cannot cancel ticket
-110811,ERR_DT_OPEN_SHIFT_TIMEOUT_EXPIRED,TAX_TERMINAL_ERRORS,Tax terminal error: More than 24 hours from shift opening
-110812,ERR_DT_INVALID_LOGIN_PASSWORD,TAX_TERMINAL_ERRORS,Tax terminal error: Invalid login name or password
-110813,ERR_DT_INCORRECT_REQUEST_DATA,TAX_TERMINAL_ERRORS,Tax terminal error: Incorrect request data
-110814,ERR_DT_NOT_ENOUGH_CASH,TAX_TERMINAL_ERRORS,Tax terminal error: Not enough cash
-110815,ERR_DT_BLOCKED,TAX_TERMINAL_ERRORS,Tax terminal error: Blocked from server
-110855,ERR_DT_UNKNOWN_ERROR,TAX_TERMINAL_ERRORS,Tax terminal error: Unknown error
-111000,ERR_R_CLEAR,REGMODE ERRORS,"Registration mode error: Common error, followed by deliting all data for the command"
-111001,ERR_R_NOCLEAR,REGMODE ERRORS,"Registration mode error: Common error, followed by partly deliting data for the command"
-111002,ERR_R_SYNTAX,REGMODE ERRORS,Registration mode error: Syntax error. Check the parameters of the command
-111003,ERR_R_NPOSSIBLE,REGMODE ERRORS,Registration mode error: Cannot do operation
-111004,ERR_R_PLU_NOTEXIST,REGMODE ERRORS,Registration mode error: PLU code was not found
-111005,ERR_R_PLU_VAT_DISABLE,REGMODE ERRORS,Registration mode error: Forbidden VAT
-111006,ERR_R_PLU_QTY_PRC,REGMODE ERRORS,Registration mode error: Overflow in multiplication of quantity and price
-111007,ERR_R_PLU_NO_PRC,REGMODE ERRORS,Registration mode error: PLU has no price
-111008,ERR_R_PLU_GRP_RANGE,REGMODE ERRORS,Registration mode error: Group is not in range
-111009,ERR_R_PLU_DEP_RANGE,REGMODE ERRORS,Registration mode error: Department is not in range
-111010,ERR_R_BAR_NOTEXIST,REGMODE ERRORS,Registration mode error: BAR code does not exist
-111011,ERR_R_OVF_TOTAL,REGMODE ERRORS,Registration mode error: Overflow of the PLU turnover
-111012,ERR_R_OVF_QTY,REGMODE ERRORS,Registration mode error: Overflow of the PLU quantity
-111013,ERR_R_ECR_OVR,REGMODE ERRORS,Registration mode error: ECR daily registers overflow
-111014,ERR_R_BILL_TL_OVR,REGMODE ERRORS,Registration mode error: Bill total register overflow
-111015,ERR_R_OPEN_BON,REGMODE ERRORS,Registration mode error: Receipt is opened
-111016,ERR_R_CLOSED_BON,REGMODE ERRORS,Registration mode error: Receipt is closed
-111017,ERR_R_PAY_NOCASH,REGMODE ERRORS,Registration mode error: No cash in ECR
-111018,ERR_R_PAY_STARTED,REGMODE ERRORS,Registration mode error: Payment is initiated
-111019,ERR_R_OVF_TRZ_BUFF,REGMODE ERRORS,Registration mode error: Maximum number of sales in receipt
-111020,ERR_R_NO_TRANSACTIONS,REGMODE ERRORS,Registration mode error: No transactions
-111021,ERR_R_NEGATIVE_SUMVAT,REGMODE ERRORS,Registration mode error: Possible negative turnover
-111022,ERR_R_PYFOREIGN_HAVERESTO,REGMODE ERRORS,Registration mode error: Foreign payment has change
-111023,ERR_R_TRZ_NOT_EXIST,REGMODE ERRORS,Registration mode error: Transaction is not found in the receipt
-111024,ERR_R_END_OF_24_HOUR_PERIOD,REGMODE ERRORS,Registration mode error: End of 24 hour blocking
-111025,ERR_R_NO_VALID_INVOICE,REGMODE ERRORS,Registration mode error: Invalid invoice range
-111026,ERR_R_POS_TERM_CANCELED,REGMODE ERRORS,Registration mode error: Operation is cancelled by operator
-111027,ERR_R_POS_TERM_APPROVED,REGMODE ERRORS,Registration mode error: Operation approved by POS
-111028,ERR_R_POS_TERM_NOT_APPROVED,REGMODE ERRORS,Registration mode error: Operation is not approved by POS
-111029,ERR_R_POS_TERM_CONN_ERR,REGMODE ERRORS,Registration mode error: POS terminal communication error
-111030,ERR_R_PLU_QTY_PRC_TOO_LOW,REGMODE ERRORS,Registration mode error: Multiplication of quantity and price is 0
-111031,ERR_R_VALUE_TOO_BIG,REGMODE ERRORS,Registration mode error: Value is too big
-111032,ERR_R_VALUE_BAD,REGMODE ERRORS,Registration mode error: Value is bad
-111033,ERR_R_PRICE_TOO_BIG,REGMODE ERRORS,Registration mode error: Price is too big
-111034,ERR_R_PRICE_BAD,REGMODE ERRORS,Registration mode error: Price is bad
-111035,ERR_R_ALL_VOID_SELECTED,REGMODE ERRORS,Registration mode error: Operation all void is selected to be executed
-111036,ERR_R_ONLY_ALL_VOID_IS_POSSIBLE,REGMODE ERRORS,Registration mode error: Only all void operation is permitted
-111040,ERR_R_REST_NOFREESPC_SELLS,REGMODE ERRORS,Registration mode error: Restaurant: There is no free space for other purchases
-111041,ERR_R_REST_NOFREESPCFORNEWACNT,REGMODE ERRORS,Registration mode error: Restaurant: There is no free space for new acount
-111042,ERR_R_REST_ACCOUNT_IS_OPENED,REGMODE ERRORS,Registration mode error: Restaurant: Account is already opened
-111043,ERR_R_REST_WRONG_INDEX,REGMODE ERRORS,Registration mode error: Restaurant: Wrong index
-111044,ERR_R_REST_ACNT_IS_NOTFOUND,REGMODE ERRORS,Registration mode error: Restaurant: Account is not found
-111045,ERR_R_REST_NOT_PERMITTED,REGMODE ERRORS,Registration mode error: Restaurant: Not permitted( only for admins )
-111046,ERR_R_OPEN_NONFISCALBON,REGMODE ERRORS,Registration mode error: non-fiscal receipt is opened
-111047,ERR_R_OPEN_FISCALBON,REGMODE ERRORS,Registration mode error: fiscal receipt is opened
-111048,ERR_R_BUYERS_TIN_IS_ENTERED,REGMODE ERRORS,Registration mode error: Buyers TIN is already entered
-111049,ERR_R_BUYERS_TIN_IS_NOT_ENTERED,REGMODE ERRORS,Registration mode error: Buyers TIN is not entered
-111050,ERR_R_PAY_NOT_STARTED,REGMODE ERRORS,Registration mode error: Payment is not initiated
-111051,ERR_R_BON_TYPE_MISMATCH,REGMODE ERRORS,Registration mode error: Reeipt type mismatch
-111052,ERR_R_REACH_BON_TL_LIMIT,REGMODE ERRORS,Registration mode error: Receipt total limit is reached
-111053,ERR_R_CASH_NO_MULT_MIN_COIN,REGMODE ERRORS,Registration mode error: Sum cannot be divided by the minimum coin
