Код;Наименование
81132002;Машинен оператор, драга/земекопачка/ескаватор
81132003;Оператор, драга/земекопачка/ескаватор
81132004;Оператор, съоръжение за пробиване на дупки
81132005;Оператор, кран (нефтени и газови кладенци)
81132006;Оператор, оборудване за изтегляне (нефтени и газови кладенци)
81132007;Оператор, оборудване за пускане на сонди за кладенци
81132008;Оператор, пускане на сонди на кабелен принцип (нефтени и газови кладенци)
81132009;Оператор, пускане на сонди на ротационен принцип (нефтени и газови кладенци)
81132010;Оператор, сондажно оборудване (кладенци)
81132011;Оператор, черпещи сонди и киселинни магистрали
81142001;Машинен оператор, азбесто-циментови изделия
81142002;Машинен оператор, гравиране на каменни изделия
81142003;Машинен оператор, зареждач на абразиви
81142004;Машинен оператор, изглаждане/оглаждане
81142005;Машинен оператор, изготвител на свръзки (абразивни и диамантни изделия)
81142006;Машинен оператор, изделия от камък
81142007;Машинен оператор, изделия от бетон
81142008;Машинен оператор, минерални изделия
81142009;Машинен оператор, изделия от изкуствени камъни
81142010;Машинен оператор, производство на абразионни покрития
81142011;Машинен оператор, производство на промишлени диаманти
81142012;Машинен оператор, рязане на минерални продукти
81142013;Машинен оператор, циментови продукти
81142014;Машинен оператор, шлифоване
81142015;Оператор, залепвач на детайли
81142016;Оператор, инсталация за размесване на бетон
81142017;Оператор, лепач на главички (шлайфграфери)
81142018;Резач – полировач
81142019;Резач, промишлени диаманти
81142020;Оператор, производство на цимент
81142021;Оператор, пещи за производство на цимент
81212001;Апаратчик, петрургия
81212002;Апаратчик, производство на редки метали
81212003;Апаратчик, хидрометалургия
81212004;Апаратчик, цветна металургия
81212005;Апаратчик, черна металургия
81212006;Апаратчик, електролиза
81212007;Манипулатор, валцова машина
81212008;Машинен оператор, машина за леене
81212009;Травилчик
81212010;Машинен оператор, машини и съоръжения в металургията
81212011;Машинен оператор, закаляване на метал
81212012;Машинен оператор, смесване на метал
81212013;Машинен оператор, горещо пресоване на метал
81212014;Машинен оператор, изтегляне на безшевни тръби
81212015;Машинен оператор, изтегляне на жица и тел
81212016;Машинен оператор, изтегляне на метал
81212017;Машинен оператор, студено пресоване на метал
81212018;Машинен оператор, рафиниране на метал
81212019;Машинен оператор, производство на изделия от олово
81213020;Оператор, пещи за термична обработка на метал
81213021;Оператор, пещи за циментация на метал
81213022;Оператор, инсталация за гранулиране на шлака
81213023;Оператор, оборудване за карбонизация на метал
81213024;Оператор, отвръщач на изделия от благородни и цветни неблагородни метали
81222001;Възстановител-металист
81222002;Галванизатор
81222003;Електровакуумист
81222004;Електроерозист
81222005;Електролизьор, апаратчик на метални прахове
81222006;Електролитчик
81222007;Електрофорезчик
81222008;Машинен оператор, вакуумапаратчик
81222009;Машинен оператор, галванизиране на метал
81222010;Машинен оператор, излъскване на метал
81222011;Машинен оператор, метализатор
81222012;Машинен оператор, направа на покритие
81222013;Машинен оператор, оцветяване на метал
81222014;Машинен оператор, поцинковане на метал
81222015;Машинен оператор, регенериране на платинови мрежи
81222016;Машинен оператор, точене на листове (метал)
81222017;Машинен оператор, шлифоване на метал
81222018;Оператор, оборудване за почистване на метал
81222019;Оператор, регулировчик на електролизни вани
81222020;Работник, покриване метални повърхности
81222021;Химикалист, производство на стоманени профили
81312001;Апаратчик, химически процеси
81312002;Заготвител, активна маса (химически процеси)
81312003;Изготвител, бои/лакове/багрила/ флюсове и лустра
81312004;Лепилоприготвител
81312005;Машинен оператор, експандерист
81312006;Машинен оператор, изготвител и разфасовчик на туш
81312007;Машинен оператор, изготвител на фирниси, фиксативи и маслен пастел
81312008;Машинен оператор, мелене (химически и други сродни на тях процеси)
81312009;Машинен оператор, пулверизиране (химически и други сродни на тях процеси)
81312010;Машинен оператор, разбиване (химически други сродни на тях процеси)
81312011;Машинен оператор, размесване (химически и други сродни на тях процеси)
81312012;Машинен оператор, смесване в химически и други сродни на тях процеси
81312013;Машинен оператор, смеси и разтвори за бои за рисуване
81312014;Машинен оператор, стриване в химически и други сродни на тях процеси
81312015;Машинен оператор, сух пастел и моделин
81312016;Машинен оператор, съединяване в химически и други сродни на тях процеси
81312017;Машинен оператор, таблетираща машина за акварел
81312018;Машинен оператор, гореща камера
81312019;Машинен оператор, производство на дървени въглища
81312020;Машинен оператор, производство на изкуствени торове
81312021;Машинен оператор, производство на светилен газ
81312022;Машинен оператор, производство на синтетични влакна
81312023;Машинен оператор, филерист
81312024;Машинен оператор, производство на етерични масла и конкрети
81312025;Машинен оператор, производство на памук, тампони, марли и други
81312026;Машинен оператор, производство на перилни средства
81312027;Машинен оператор, производство на тоалетни препарати
81312028;Машинен оператор, фармацевтични продукти
81312029;Машинен оператор, амуниции
81312030;Машинен оператор, производство на експлозивни вещества
81312031;Машинен оператор, производство на кибрит
81312032;Машинен оператор, производство на феритни и магнитни изделия
81312033;Машинен оператор, производство на фойерверки
81312034;Машинен оператор, заварчик на кондензатори
81312035;Машинен оператор, производство на бои, лакове и багрила
81312036;Машинен оператор, производство на водороден газ
81312037;Машинен оператор, производство на линолеум
81312038;Машинен оператор, производство на смоли
81312039;Машинен оператор, производство на хлорен газ
81312040;Машинен оператор, производство на халогенен газ
81312041;Машинен оператор, промиване на химически и други сродни на тях материали
81312042;Лепиловар
81312043;Смоловар
81312044;Кислородчик
81312045;Апаратчик, сярна киселина
81312046;Оператор, пастировчик на плочи
81312047;Оператор, приготвител на смеси
81312048;Оператор, компаудировчик
81312049;Оператор, чукова мелница (химически и други сродни на тях процеси)
81312050;Оператор, гранулиращо оборудване (фармацевтични продукти и тоалетни препарати)
81312051;Оператор, дестилатор (парфюми)
81312052;Оператор, дестилаторно оборудване (парфюми)
81312053;Оператор, оборудване за моделиране (тоалетни принадлежности)
81312054;Оператор, подготвител на смеси, разтвори и полуфабрикати за електронни елементи
81312055;Оператор, производство на акумулатори
81312056;Леяр, детайли от олово за акумулатори
81313057;Оператор, филтърна преса (химически и други сродни на тях процеси)
81313058;Оператор, флотация на кварцов прах
81313059;Оператор, дехидратор (петролни залежи)
81313060;Оператор, екстрактор (химически и други сродни на тях материали)
81313061;Оператор, инструмент за изхвърляне (химически и други сродни на тях материали)
81313062;Оператор, оборудване за обработка, манипулация на суров петрол
81313063;Оператор, пресяване, прецеждане на химически и сродни на тях материали
81313064;Оператор, сепаратор (химически и други сродни на тях процеси)
81313065;Оператор, филтър/ротационен барабан
81313066;Оператор, филтър (химически и други сродни на тях процеси)
81313067;Оператор, центрофугиращ сепаратор (химически и други сродни на тях процеси)
81313068;Вакуумимпрегнатор
81313069;Вакуумоператор
81313070;Оператор, вакуумна вана в химически и сродни на тях процеси (без нефт и природен газ)
81313071;Оператор, дестилатор/еднократно (химически процеси - без нефт и природен газ)
81313072;Оператор, дестилатор/непрекъснато (химически процеси - без нефт и природен газ)
81313073;Оператор, екстрактор (дестилация на дървен материал)
81313074;Оператор, изпарител (химически процеси - без нефт и природен газ)
81313075;Оператор, конвертор (химически процеси - без нефт и природен газ)
81313076;Оператор, реактор-конвертор (химически процеси - без нефт и природен газ)
81313077;Оператор, реактор (химически процеси - без нефт и природен газ)
81313078;Оператор избелителни разтвори
81313079;Оператор, производство на парафин
81312080;Газголдерчик
81312081;Захранвач
81312082;Изпитател, акумулатори
81312083;Монтьор, оловни акумулатори
81312084;Дообработчик, плочи за акумулатори
81312085;Приготвител, оловни сплави за акумулатори и други подобни
81312086;Работник, производство на индикаторни тръби
81312087;Работник, добив на оловен прах
81312088;Работник, производство на акумулатори
81312089;Работник, приготвящ електролит
81312090;Работник, зареждане на акумулатори
81312091;Работник, пастировка
81312092;Работник, приготвяне на изолационни материали и смеси
81312093;Работник, приготвяне на оловни сплави
81312094;Работник, производство на асфалтови смеси
81312095;Работник, производство на химически токоизточници
81322001;Копист, филмови материали
81322002;Лаборант, обработващ светлочувствителни материали
81322003;Печатар, проекции/изображения
81322004;Печатар, филми
81322005;Печатар, фотографии
81322006;Проявител, рентгенови филми
81322007;Проявител, фотографски плаки
81322008;Проявител, цветни негативи/позитиви
81322009;Проявител, цветни филми/снимки
81322010;Проявител, черно-бели негативи/позитиви
81322011;Проявител, черно-бели филми/снимки
81322012;Проявител, копировач
81322013;Увеличител на снимки
81322014;Машинен оператор, вадене на копия от снимки
81322015;Машинен оператор, производство на фотографска хартия
81322016;Машинен оператор, производство на фотографски плаки
81322017;Машинен оператор, производство на фотографски филми
81322018;Машинен оператор, проявяване на фотографски материали
81322019;Машинен оператор, специализирано устройство за микрофилмова техника
81322020;Машинен оператор, фотографски изделия
81322021;Работник, тъмни помещения по проявяване на филми и копиране на снимки
81412001;Заготовчик, изолационни платове
81412002;Изготвител, болкит
81412003;Импрегнатор
81412004;Машинен оператор, биене на каучук
81412005;Машинен оператор, вулканизиране на автомобилни гуми и др.
81412006;Машинен оператор, вулканизиране на каучукови изделия
81412007;Машинен оператор, възстановяване на автомобилни гуми
81412008;Машинен оператор, направа на покритие от каучук
81412009;Машинен оператор, обработка на каучук
81412010;Машинен оператор, производство на гуми
81412011;Машинен оператор, производство на каучукови изделия
81412012;Машинен оператор, производство на щемпели
81412013;Машинен оператор, фасониране на каучук
81412014;Машинен оператор, щанцоване на каучук
81412015;Оператор, каучуково производство
81412016;Оператор, каландър (каучук)
81412017;Работник, импрегнация
81421001;Бласьор
81421002;Изцепвач, дунапрен
81421003;Машинен оператор, ецване на пластмаса
81421004;Машинен оператор, изработване на пластмасови антени
81421005;Машинен оператор, изработване на плексигласови изделия
81421006;Машинен оператор, леене на пластмасови изделия
81421007;Машинен оператор, моделиране/фасониране на пластмаса
81421008;Машинен оператор, направа на пластове, листове
81421009;Машинен оператор, направа на резба (пластмаса)
81421010;Машинен оператор, оглаждане/довършване на пластмаса
81421011;Машинен оператор, пресоване на пластмаси
81421012;Машинен оператор, пробиване на пластмаса
81421013;Машинен оператор, производство на пластмаса
81421014;Машинен оператор, производство на пластмасови изделия
81421015;Машинен оператор, рязане на пластмаса
81421016;Машинен оператор, спойване на пластмасови изделия
81422017;Машинен оператор, преработка на дунапрен
81421018;Хладилен мебелист
81432001;Машинен оператор, производство на картонени изделия
81432002;Машинен оператор, изделия от хартия
81432003;Машинен оператор, изделия, подвързани с картон
81432004;Машинен оператор, изработване в релеф (хартия)
81432005;Машинен оператор, производство на пликове и хартиени торбички
81432006;Машинен оператор, производство на целофанени торбички
81512001;Машинен оператор, изпридане на конци и прежди
81512002;Машинен оператор, изпридане на синтетични влакна
81512003;Машинен оператор, комбиниране на текстилни влакна
81512004;Машинен оператор, метриране на плат
81512005;Машинен оператор, навиване на конци и прежди
81512006;Машинен оператор, навиване на плат
81512007;Машинен оператор, намотаване (конци и прежди)
81512008;Машинен оператор, подготовка на влакна
81512009;Машинен оператор, пресукване на конци и прежди
81512010;Машинен оператор, размесване на текстилни влакна
81512011;Машинен оператор, удвояване на конци и прежди
81512012;Машинен оператор, усукване на конци и прежди
81512013;Машинен оператор, флаеровъчен стан (текстилни влакна)
81512014;Машинен оператор, чертожен стан
81522001;Свилар
81522002;Секционен майстор
81522003;Скробвач
81522004;Сновач
81522005;Тъкач
81522006;Зареждач
81522007;Машинен оператор, бродерия
81522008;Машинен оператор, вдяване (тъкачен стан)
81522009;Машинен оператор, вплитане (тъкане на текстил)
81522010;Машинен оператор, изготвяне на кордони
81522011;Машинен оператор, насноваване на основата/кросно (тъкане на текстил)
81522012;Машинен оператор, плетене
81522013;Машинен оператор, производство на мрежи
81522014;Машинен оператор, рязане на текстил
81522015;Машинен оператор, тъкане
81522016;Машинен оператор, тъкане на килими
81522017;Машинен оператор, тъкане на платове
81522018;Оператор, тъкачен стан
81522019;Работник, плетач
81522020;Работник, бобинарка и шпулмашина
81522021;Работник, винтонарезен стан
81522022;Работник, плетачна машина
81522023;Работник, тъкачен стан
81522024;Работник, тъфтинг-машина за тъкане на килими
81522025;Работник, възстановяване на влакна
81522026;Работник, ръчно изшиване на дефекти на тъкането (дообработка на тъкани)
81522027;Работник, десенатор на тъкани
81522028;Работник, предач на влакна и прежда
81521029;Работник, низане на жакардови карти
81521030;Работник, рязане на жакардови карти
81532001;Машинен оператор, кроене
81532002;Машинен оператор, кроене с електронна машина
81532003;Машинен оператор, преса за гладене
81532004;Машинен оператор, шиене
81532005;Машинен оператор, шиене на бродерия
81532006;Машинен оператор, шиене на кожени изделия
81532007;Машинен оператор, шиене на облекла
81532008;Машинен оператор, шиене на обувки
81532009;Машинен оператор, шиене на тапицерия
81532010;Машинен оператор, шиене на текстилни изделия
81532011;Машинен оператор, шиене на шапки
81542001;Машинен оператор, белене (избелване) на влакна, текстил и текстилни изделия
81542002;Машинен оператор, боядисване на влакна, текстил и текстилни изделия
81542003;Машинен оператор, импрегниране на влакна, текстил и текстилни изделия
81542004;Машинен оператор, кадриране на плат
81542005;Машинен оператор, свиване на текстил
81542006;Машинен оператор, сушене на влакна, текстил и текстилни изделия
81542007;Оператор, парна преса
81542008;Оператор, каландър (текстил)
81542009;Оператор, оборудване за почистване на влакна, текстил и текстилни изделия
81552001;Машинен оператор, боядисване/оцветяване на кожи
81552002;Машинен оператор, обработка на кожи
81552003;Машинен оператор, подготовка на кожи
81552004;Машинен оператор, пране на кожи
81552005;Машинен оператор, рязане на кожи
81552006;Машинен оператор, смесване на кожени влакна
81552007;Машинен оператор, щавене
81562001;Машинен оператор, обувно производство
81562002;Машинен оператор, производство на ортопедични обувки
81562003;Машинен оператор, производство на спортни обувки
81572001;Машинен оператор, гладене в пералня
81572002;Машинен оператор, пералня/перачница
81572003;Машинен оператор, химическо чистене
81570004;Оператор, тепавица
81592001;Машинен оператор, десениране на текстил
81592002;Машинен оператор, производство на дюшеци
81592003;Машинен оператор, производство на ширити, сърма и други подобни
81592004;Машинен оператор, шаблониране на кожи
81592005;Машинен оператор, шапкарство
81592006;Машинен оператор, производство на нетъкан текстил и изкуствени кожи
81602001;Машинен оператор, бланширане на риба/месо
81602002;Машинен оператор, затваряне на консерви в метална кутия (херметически)
81602003;Машинен оператор, измиване на консерви (стерилни в метални кутии)
81602004;Машинен оператор, размразяване на месо/риба
81602005;Машинен оператор, замразяване на месо/риба
81602006;Машинен оператор, консервиране на месо/риба
81602007;Машинен оператор, месни продукти
81602008;Машинен оператор, обработване на месо/риба
81602009;Машинен оператор, рибни продукти
81602010;Машинен оператор, стерилизиране на месо/риба
81602011;Машинен оператор, сушене на месо
81602012;Оператор, автоклав (месо и риба)
81602013;Машинен оператор, миячна машина
81602014;Машинен оператор, разфасовъчна машина
81602015;Машинен оператор, млечни продукти
81602016;Машинен оператор, пастьоризиране на мляко/млечни продукти
81602017;Машинен оператор, преработване на мляко
81602018;Машинен оператор, производство на мляко на прах
81602019;Оператор, стифир машина
81602020;Оператор, вакуумен съд за кондензирано мляко
81602021;Машинен оператор, пресевна машина
81602022;Машинен оператор, силози
81602023;Машинен оператор, белене/чистене на зърно
81602024;Машинен оператор, мелене на зърно
81602025;Машинен оператор, мелене на подправки
81602026;Машинен оператор, обработка на зърно
81602027;Оператор, мелница за зърно
81602028;Оператор, мелница за подправки
81602029;Машинен оператор, преработка на пчелен мед
81602030;Машинен оператор, производство на тестени изделия
81602031;Машинен оператор, производство на захарни изделия
81602032;Машинен оператор, производство на хляб
81602033;Машинен оператор, производство на шоколад и шоколадови изделия
81602034;Машинен оператор, хлебни изделия
81602035;Машинен оператор, замразяване на плодове/зеленчуци
81602036;Машинен оператор, консервиране на плодове/зеленчуци
81602037;Машинен оператор, обработка на плодове/зеленчуци
81602038;Машинен оператор, обработка на ядки
81602039;Машинен оператор, производство на плодови/зеленчукови сокове
81602040;Машинен оператор, производство на растителни масла
81602041;Машинен оператор, стерилизиране на плодове/зеленчуци
81602042;Машинен оператор, сушене на хранителни продукти
81602043;Оператор, преса за плодове/зеленчуци
81602044;Оператор, автоклав
81602045;Оператор, вакуумен съд за хранителни есенции
81602046;Оператор, вакуум-изпарителна инсталация с ароматоуловител
81602047;Оператор, вакуумна пещ (хранителни продукти)
81602048;Оператор, оборудване за хидрогениране (масла и мазнини)
81602049;Регулировчик, хранителни уредби и горивни апаратури
81602050;Дестилатор
81602051;Машинен оператор, производство на захар
81602052;Машинен оператор, рафиниране на захар
81602053;Оператор, оборудване за рафиниране на захар
81602054;Оператор, уред за разтоварване (дифундиране на захарно цвекло)
81602055;Машинен оператор, обработване на кафе/какао/чай
81602056;Машинен оператор, смесване на различни сортове кафе
81602057;Машинен оператор, смесване на различни сортове чай
81602058;Оператор, оборудване за печене на кафе/какао
81602059;Машинен оператор, варене на спиртни напитки
81602060;Машинен оператор, дестилиране на спиртни напитки
81602061;Машинен оператор, пивоварство/спиртни напитки
81602062;Машинен оператор, производство на безалкохолни напитки
81602063;Оператор, инсталация за изваряване на пиво/алкохолни напитки
81602064;Оператор, дестилиране на спиртни напитки
81602065;Оператор, оборудване за отлежаване пивоварство/спиртни напитки
81602066;Оператор, оборудване за приготвяне на малц
81602067;Оператор, оборудване за ферментация на спиртни напитки и пиво
81602068;Пивовар
81602069;Производител, малц
81602070;Машинен оператор, бране на тютюневи листа
81602071;Машинен оператор, обработка на тютюн
81602072;Машинен оператор, производство на пури
81602073;Машинен оператор, производство на цигари
81602074;Машинен оператор, рязане на тютюневи листа
81602075;Машинен оператор, смесване различни сортове тютюн
81602076;Машинен оператор, тютюневи изделия
81602077;Машинист, агрегат тютюневи бали
81602078;Оператор, автоматична поточна линия, тютюневи изделия
81602079;Оператор, вакуумен апарат за поддържане на влажността при обработка на тютюн
81602080;Оператор, вибро навлажнителен тунел
81602081;Оператор, смесител тютюнева линия
81602082;Машинен оператор, производство на яйчни продукти
81601083;Работник маркиране
81601084;Работник нераздробени меса
81601085;Работник пълнене на колбаси
81601086;Работник шунки и деликатеси
81601087;Работник термична обработка
81601088;Работник, производство на захар, захарни  и шоколадови изделия
81601089;Работник, производство на мелничарски  и  нишестени продукти
81601090;Работник, производство на  безалкохолни напитки, сокове и води
81601091;Работник, производство на вино и високоалкохолни напитки
81601092;Работник, производство на растителни масла и масло продукти от растителен произход
81601093;Машинен оператор, нишестени продукти
81712001;Машинен оператор, довеждане на дървото до кашаво състояние
81712002;Машинен оператор, дялане на дървен материал
81712003;Машинист транспортни съоръжения
81712004;Машинист спомагателни съоръжения
81712005;Оператор производство на листова целулоза
81712006;Оператор сушене и  балиране
81712007;Оператор обезводняване, мерсеризация и балиране
81712008;Оператор eтерификация
81712009;Оператор, изготвител на разтвори и целулозна каша за мембрани и трептилки
81712010;Оператор, дялане/дълбаене (хартиена каша)
81712011;Оператор, избелване на хартия
81712012;Оператор, нагряване на хартиена каша
81712013;Оператор, пречистване на хартиена каша
81712014;Оператор, разтваряне на хартиена каша
81712015;Оператор, сортиране на хартиена каша
81712016;Оператор, тупане на хартиена каша
81712017;Машинен оператор, гланциране на хартия
81712018;Машинен оператор, производство на хартия
81712019;Оператор, преса за картонени изделия
81712020;Оператор, производство на хартия
81712021;Оператор, рязане на картон (велпапе)
81712022;Оператор, съединяване на хартия
81712023;Оператор, фино сатиниране
81712024;Работник зареждане корообелващ барабан
81722001;Машинен оператор, агрегат
81722002;Машинен оператор, банциг
81722003;Машинен оператор, циркуляр
81722004;Машинен оператор, дърводобив
81722005;Машинен оператор, дървообработване
81722006;Машинен оператор, производство на шперплат
81722007;Машинен оператор, рендосване на дървен материал
81722008;Машинен оператор, рязане на дървен материал
81722009;Машинен оператор, сушене на дървен материал
81722010;Машинен оператор, фрезоване на дървен материал
81722011;Оператор, отрязващ трион за трупи
81722012;Оператор, дъскорезница
81722013;Оператор, лентов трион
81722014;Пресьор, фурнир
81722015;Пресьор, шперплат
81722016;Резач
81722017;Машинен оператор, производство на брикети и пелети
81811001;Машинен оператор, валцуване на листово стъкло
81811002;Машинен оператор, гравиране на стъкло
81811003;Машинен оператор, духане на стъкло
81811004;Машинен оператор, ецване на стъкло
81811005;Машинен оператор, закаляване на стъкло
81811006;Машинен оператор, извиване на стъкло
81811007;Машинен оператор, изтегляне на стъкло
81811008;Машинен оператор, леене на керамика и порцелан
81811009;Машинен оператор, матиране (гланциране) на стъкло
81811010;Машинен оператор, отливане по калъп за оформяне на стъкло
81811011;Машинен оператор, оцветяване на керамика
81811012;Машинен оператор, оцветяване на стъкло
81811013;Машинен оператор, полиране на стъкло
81811014;Машинен оператор, пресоване на стъкло
81811015;Машинен оператор, производство на бутилки
81811016;Машинен оператор, производство на керамика и порцелан
81811017;Машинен оператор, производство на керамични изделия
81811018;Машинен оператор, производство на стъклени изделия
81811019;Машинен оператор, производство на стъкло
81811020;Машинен оператор, рязане на стъкло
81811021;Машинен оператор, шлифоване на стъкло
81812022;Машинен оператор, емайлиране на порцеланови и керамични изделия
81812023;Машинен оператор, изглаждане на глина
81812024;Машинен оператор, производство на глазиран порцелан или керамични изделия
81812025;Машинен оператор, производство на стъклени влакна
81812026;Машинен оператор, смесване на глазиран порцелан или керамични изделия
81812027;Машинен оператор, смесване на глина
81812028;Машинен оператор, смесване на материал за изтриване, шлифоване
81812029;Машинен оператор, смесване на стъкло
81811030;Оператор, лакировач/емайльор на преходни детайли и възли
81811031;Оператор, пещи за закаляване/темпериране на стъкло
81811032;Оператор, пещи за изпичане
81811033;Оператор, пещи за изпичане на тухли и керемиди
81811034;Оператор, пещи за производство на стъкло
81811035;Оператор, оборудване за почистване на стъкло
81812036;Оператор, пещи за изпичане на фрита
81812037;Оператор, преса
81812038;Оператор, хидродинамично пресоване на металокерамични изделия
81812039;Оператор, обдухване на електропорцеланови изделия
81812040;Оператор, мелница за тухларска глина
81812041;Оператор, отпечатване на щанца (матрица) за керамика и порцелан
81811042;Работник, приготвяне на шамот
81811043;Работник, рязане и шлифоване на кварцови тръби и тигли
81822001;Корабен моторист/машинист
81822002;Корабен огняр
81822003;Корабен помпиер
81822004;Огняр
81822005;Оператор, парни и водогрейни съоръжения
81822006;Оператор, парна машина
81832001;Машинен оператор, бутилиране
81832002;Машинен оператор, етикетиране
81832003;Машинен оператор, запечатване
81832004;Машинен оператор, маркиране на стоки
81832005;Машинен оператор, опаковане/увиване
81832006;Машинен оператор, пломбиране на контейнери
81892001;Машинен оператор, дренажна система, канализация
81892002;Машинен оператор, електрическа инсталация
81892003;Машинен оператор, зонно пречистване и изготвяне на монокристали
81892004;Машинен оператор, изготвяне на селенови клетки
81892005;Машинен оператор, изолация
81892006;Машинен оператор, кабелна инсталация
81892007;Машинен оператор, машини за намагнитване
81892008;Машинен оператор, обработка на слюда за кондензатори
81892009;Машинен оператор, подготвяне на смоли за термообработка
81892010;Машинен оператор, подготовка на заваръчни детайли
81892011;Машинен оператор, поставяне на капсул
81892012;Машинен оператор, производство на металокерамични изделия
81892013;Машинен оператор, производство на пиезокварцови изделия
81892014;Машинен оператор, производство на силиконови чипове
81892015;Машинен оператор, изработване на печатни платки
81892016;Машинен оператор, разпрашител на метални прахове от метали и сплави
81892017;Машинен оператор, метални прахове и смеси
81892018;Машинен оператор, хидродинамично пресоване на металокерамични изделия
