Код;Наименование
13245025;Ръководител група, транспорт
13245026;Ръководител, транспорт
13243027;Ръководител смяна, транспортно експлоатационно звено
13243028;Ръководител смяна, ремонтно звено в транспорта
13246029;Ръководител отдел, доставки
13246030;Ръководител отдел, дистрибуция
13246031;Ръководител отдел, складиране
13246032;Ръководител, автобаза
13245033;Летец-пилот, директор на дирекция
13245034;Ръководител автосервиз
13245035;Началник пристанищен район
13246036;Главен пилот, директор дирекция
13246037;Ръководител на район
13247038;Главен авиоинженер, директор дирекция
13247039;Ръководител на организация за техническо обслужване, авиация
13247040;Ръководител на организация за поддържане на непрекъсната летателна годност
13306001;Директор, информационни системи
13306002;Директор/ Мениджър, информационни технологии
13303003;Началник, пощенска станция
13303004;Ръководител,  комуникационни технологии
13306005;Ръководител, информационно обслужване
13306006;Ръководител, компютърно обслужване
13306007;Ръководител, компютърни системи: разработка на системи
13306008;Ръководител, информационни и комуникационни технологии
13306009;Мениджър, мрежи
13306010;Мениджър, софтуерни приложения
13306011;Мениджър, софтуерно развитие
13306012;Мениджър, обработка на данни 
13303013;Управител, пощи
13306014;Управител, Интернет доставки
13305015;Ръководител радио/телевизионни станции
13305016;Ръководител, сектор/студиен комплекс - радио и телевизия
13305017;Главен редактор, радио/телевизия
13305018;Директор на дирекция, радио/телевизия
13305019;Директор, радио/телевизионна програма
13305020;Ръководител, техническа смяна радио/телевизия
13305021;Мениджър ИТ център
13305022;Директор, информационни системи и системи за управление
13305023;Ръководител, информационни и комуникационни технологии и системи за управление 
13306024;Ръководител подвижни радиорелейни/телевизионни станции
13306025;Изпълнителен продуцент
13415001;Управител, детско заведение
13415002;Директор, детска ясла
13429001;Директор НЕЛК
13427002;Директор, здравно заведение
13427003;Директор/Управител/Ръководител, лечебно заведение
13429004;Председател ТЕЛК
13429005;Председател ДЕЛК
13425006;Управител, лечебно заведение за извънболнична помощ 
13427007;Ръководител/Управител, здравно заведение
13426008;Ръководител, лаборатория
13426009;Ръководител, служба по трудова медицина
13427010;Началник клиника
13427011;Лекар, началник отделение/лаборатория
13426012;Главна медицинска сестра
13426013;Старша медицинска сестра
13426014;Старши рентгенов лаборант
13426015;Старши медицински лаборант
13426016;Главна акушерка
13426017;Старша акушерка
13426018;Главен рехабилитатор
13426019;Старши рехабилитатор
13427020;Фармацевт-магистър, ръководител на  аптека
13427021;Фармацевт-магистър, контрол върху качеството на лекарствените продукти
13427022;Ръководител, лекарствена безопасност
13427023;Ръководител, здравна комуникация и лекарствена информация
13427024;Ръководител, управление на клинични изпитвания
13427025;Отговорен магистър-фармацевт, контрол върху наркотичните вещества и прекурсорите
13427026;Фармацевт-магистър, заместник-ръководител на аптека
13427027;Лекар, началник на медицински пункт
13433001;Управител, дом за стари хора със здравни грижи
13433002;Управител, дом за стари хора без здравни грижи
13433003;Координатор, грижи за възрастни хора в общността 
13447001;Директор, социални услуги в общността
13447002;Директор, специализирана институция
13447003;Управител, социални услуги в общността
13443004;Управител, специализирана институция
13446006;Социален предприемач, социални услуги
13456001;Директор, специализирано обслужващо звено в системата на предучилищното и училищното образование
13456002;Директор, училище
13456003;Директор, център за професионално обучение
13456004;Директор, детска градина
13459005;Директор, колеж
13457006;Директор, департамент
13459007;Заместник директор, колеж
13459008;Декан
13457009;Заместник-декан
13456010;Началник, отдел в образованието
13456011;Ръководител, сектор в образованието
13459012;Ръководител, катедра
13456013;Ръководител, учебно-методичен център
13455014;Началник, учебен отдел
13456015;Директор, професионален колеж
13456016;Директор на център за продължаващо обучение
13456017;Директор на център за подкрепа на личностно развитие
13467001;Директор, банков клон/клон на финансова/платежна институция
13467002;Заместник-директор, банков клон/клон на финансова/платежна институция
13467003;Управител, банков клон/клон на финансова/платежна институция
13466004;Управител, клон на застрахователна институция
13463005;Управител, финансово-кредитна и паричнообменна дейност
13467006;Ръководител служба, банка/финансова/платежна институция
13467007;Ръководител, банков салон/салон във финансова/платежна инстетуция
13467008;Ръководител, банково представителство/представителство във финансова/платежна институция
13466009;Ръководител екип, банка/финансова/платежна институция
13466010;Ръководител отдел/сектор, банка/финансова/платежна институция
13466011;Ръководител екип, застрахователна институция
13465012;Мениджър, банка/финансова/платежна институция
13466013;Регионален директор, банка/финансова/платежна институция
