id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_2529,Специалисти по бази данни и мрежи н.д.,2529,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2611,Прокурори адвокати и юрисконсулти,2611,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2612,Съдии,2612,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2619,Юристи н.д.,2619,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2621,Архивисти и уредници,2621,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2622,Библиотекари и сродни на тях специалисти,2622,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2631,Икономисти,2631,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2632,Социолози антрополози и сродни на тях,2632,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2633,Философи историци и политолози,2633,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2634,Психолози,2634,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2635,Специалисти по социална работа и консултиране,2635,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2636,Духовници и специалисти по религии,2636,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2641,Писатели и сродни на тях,2641,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2642,Журналисти,2642,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2643,Преводачи и други езиковеди,2643,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2651,Склуптори художници и сродни на тях,2651,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2652,Музиканти певци и композитори,2652,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2653,Танцьори и хореографи,2653,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2654,Филмови и театрални режисьори и продуценти и сродни на тях,2654,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2655,Актьори,2655,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2656,Радио- телевизионни и други говорители,2656,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2659,Творци и изпълнители н.д.,2659,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_3111,Техници в областта на химическите и физическите науки,3111,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3112,Строителни техници,3112,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3113,Електротехници,3113,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3114,Електронни техници,3114,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3115,Машинни техници,3115,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3116,Химик-технолози,3116,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3117,Минни и металургични техници,3117,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3118,Чертожници,3118,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3119,Приложни специалисти във физическите и техническите науки н.д.,3119,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3121,Приложни специалисти с контролни функции в добивната промишленост,3121,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3122,Приложни специалисти с контролни функции в преработващата промишленост,3122,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3123,Приложни специалисти с контролни функции в строителството,3123,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3131,Оператори в енергийното производство,3131,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3132,Оператори на пречиствателни станции за отпадъчни води и инсинератори,3132,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3133,Оператори по контрол на процеси в химическото производство,3133,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3134,Оператори в заводи за преработване на нефт и природен газ,3134,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3135,Оператори по контрол на процеси в металургичното производство,3135,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3139,Техници по контрол на производствени процеси н.д.,3139,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3141,Природонаучни техници (без медицинските),3141,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3142,Агротехници,3142,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3143,Техници в горското стопанство,3143,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3151,Корабни механици и техници,3151,unit_group,technician,secondary,3,2025-01-01,TRUE
bg_ncop_3152,Корабни палубни офицери и пилоти,3152,unit_group,technician,secondary,3,2025-01-01,TRUE
