code;description;unit_id
02032955;Обезкостени меса от домашни свине, замразени (с изключение на гърди и разфасовки от тях);intrastat_unit_none
02032959;Меса от домашни свине, необезкостени, замразени (с изключение на цели или половин трупове, бутове, плешки, предни части, котлети, гърди и разфасовки от тях);intrastat_unit_none
02032990;Меса от животни от рода на свинете, различни от домашните, замразени (с изключение на цели или половин трупове, бутове, плешки и разфасовки от тях);intrastat_unit_none
02041000;Цели и половин трупове от агнета, пресни или охладени;intrastat_unit_none
02042100;Цели и половин трупове от животни от рода на овцете, пресни или охладени (с изключение на агнета);intrastat_unit_none
02042210;Необезкостени предна част или половин предна част от животни от рода на овцете, пресни или охладени;intrastat_unit_none
02042230;Необезкостени карета и/или седло или половин каре и/или половин седло от животни от рода на овцете, пресни или охладени;intrastat_unit_none
02042250;Необезкостени задна част и половин задна част от животни от рода на овцете, пресни или охладени;intrastat_unit_none
02042290;Необезкостени разфасовки от животни от рода на овцете, пресни или охладени (с изключение на цели или половин трупове, предни и задни части и половин предни и задни части, карета и/или седло или половин каре и/или половин седло) ;intrastat_unit_none
02042300;Обезкостени разфасовки от животни от рода на овцете, пресни или охладени;intrastat_unit_none
02043000;Цели и половин трупове от агнета, замразени;intrastat_unit_none
02044100;Цели или половин трупове от животни от рода на овцете, замразени (с изключение на агнета);intrastat_unit_none
02044210;Необезкостени предна част или половин предна част от животни от рода на овцете, замразени;intrastat_unit_none
02044230;Необезкостени карета и/или седло или половин каре и/или половин седло от животни от рода на овцете, замразени;intrastat_unit_none
02044250;Необезкостени задна част и половин задна част от животни от рода на овцете, замразени;intrastat_unit_none
02044290;Необезкостени разфасовки от животни от рода на овцете, замразени (с изключение на цели или половин трупове, предни и задни части и половин предни и задни части, карета и/или седло или половин каре и/или половин седло) ;intrastat_unit_none
02044310;Обезкостени разфасовки от агнета, замразени;intrastat_unit_none
02044390;Обезкостени разфасовки от животни от рода на овцете, замразени (с изключение на агнета);intrastat_unit_none
02045011;Цели или половин трупове от животни от рода на козите, пресни или охладени;intrastat_unit_none
02045013;Предна част или половин предна част от животни от рода на козите, пресни или охладени;intrastat_unit_none
02045015;Карета и/или седло или половин каре и/или половин седло, от животни от рода на козите, пресни или охладени;intrastat_unit_none
02045019;Задна част и половин задна част от животни от рода на козите, пресни или охладени;intrastat_unit_none
02045031;Необезкостени разфасовки от животни от рода на козите, пресни или охладени (с изключение на цели или половин трупове, предни и задни части и половин предни и задни части, карета и/или седло или половин каре и/или половин седло);intrastat_unit_none
02045039;Обезкостени разфасовки от животни от рода на козите, пресни или охладени;intrastat_unit_none
02045051;Цели или половин трупове от животни от рода на козите, замразени;intrastat_unit_none
02045053;Предна част или половин предна част от животни от рода на козите, замразени;intrastat_unit_none
02045055;Карета и/или седло или половин каре и/или половин седло, от животни от рода на козите, замразени;intrastat_unit_none
02045059;Задна част и половин задна част от животни от рода на козите, замразени;intrastat_unit_none
02045071;Необезкостени разфасовки от животни от рода на козите, замразени (с изключение на цели или половин трупове, предни и задни части и половин предни и задни части, карета и/или седло или половин каре и/или половин седло);intrastat_unit_none
02045079;Обезкостени разфасовки от животни от рода на козите, замразени;intrastat_unit_none
02050020;Меса от животни от рода на конете, магаретата, мулетата или катърите, пресни или охладени ;intrastat_unit_none
02050080;Меса от животни от рода на конете, магаретата, мулетата или катърите, замразени;intrastat_unit_none
02061010;Карантии, годни за консумация, от животни от рода на едрия рогат добитък, пресни или охладени, предназначени за производство на фармацевтични препарати;intrastat_unit_none
02061095;Месести части от диафрагмата, годни за консумация, от животни от рода на едрия рогат добитък, пресни или охладени (с изключение на карантии, предназначени за производство на фармацевтични препарати);intrastat_unit_none
02061098;Карантии, годни за консумация, от животни от рода на едрия рогат добитък, пресни или охладени (с изключение на месести части от диафрагма и карантии, предназначени за производство на фармацевтични препарати);intrastat_unit_none
02062100;Езици от животни от рода на едрия рогат добитък, замразени ;intrastat_unit_none
02062200;Черен дроб от животни от рода на едрия рогат добитък, замразен ;intrastat_unit_none
02062910;Карантии, годни за консумация, от животни от рода на едрия рогат добитък, замразени, предназначени за производство на фармацевтични препарати (с изключение на езици и черен дроб) ;intrastat_unit_none
02062991;Месести части от диафрагмата, годни за консумация, от животни от рода на едрия рогат добитък, замразени (с изключение на карантии, предназначени за производство на фармацевтични препарати);intrastat_unit_none
02062999;Карантии, годни за консумация, от животни от рода на едрия рогат добитък, замразени (с изключение на месести части от диафрагма, езици, черен дроб и карантии, предназначени за производство на фармацевтични препарати);intrastat_unit_none
02063000;Карантии, годни за консумация, от животни от рода на свинете, пресни или охладени;intrastat_unit_none
02064100;Черен дроб от животни от рода на свинете, замразен;intrastat_unit_none
02064900;Карантии, годни за консумация, от животни от рода на свинете, замразени (с изключение на черния дроб);intrastat_unit_none
02068010;Карантии, годни за консумация, от животни от рода на овцете, козите, конете, магаретата, мулетата и катърите, пресни или охладени, предназначени за производство на фармацевтични препарати ;intrastat_unit_none
02068091;Карантии, годни за консумация, от животни от рода на конете, магаретата, мулетата и катърите, пресни или охладени (с изключение на тези предназначени за производство на фармацевтични препарати) ;intrastat_unit_none
02068099;Карантии, годни за консумация, от животни от рода на овцете или козите, пресни или охладени (с изключение на тези предназначени за производство на фармацевтични препарати) ;intrastat_unit_none
02069010;Карантии, годни за консумация, от животни от рода на овцете, козите, конете, магаретата, мулетата и катърите, замразени, предназначени за производство на фармацевтични препарати ;intrastat_unit_none
02069091;Карантии, годни за консумация, от животни от рода на конете, магаретата, мулетата и катърите, замразени (с изключение на тези предназначени за производство на фармацевтични препарати) ;intrastat_unit_none
02069099;Карантии, годни за консумация, от животни от рода на овцете или козите, замразени (с изключение на тези предназначени за производство на фармацевтични препарати) ;intrastat_unit_none
02071110;Петли и кокошки, неразфасовани, пресни или охладени, оскубани, без черва, с глави и крака, наречени „пилета 83 %“;intrastat_unit_none
02071130;Петли и кокошки, неразфасовани, пресни или охладени, оскубани, изкормени, без глави и без крака, но с шийки, сърца, черен дроб и воденички, наречени „пилета 70 %“;intrastat_unit_none
02071190;Петли и кокошки, неразфасовани, пресни или охладени, оскубани, изкормени, без глави и без крака и без шийки, сърца, черен дроб и воденички, наречени „пилета 65 %“ или представени по друг начин;intrastat_unit_none
02071210;Петли и кокошки, неразфасовани, замразени, оскубани, изкормени, без глави и без крака, но с шийки, сърца, черен дроб и воденички, наречени „пилета 70 %“;intrastat_unit_none
02071290;Петли и кокошки, неразфасовани, замразени, оскубани, изкормени, без глави и без крака и без шийки, сърца, черен дроб и воденички, наречени „пилета 65 %“ или представени по друг начин (с изключение на  „пилета 70 %“);intrastat_unit_none
02071310;Разфасовки от петли и кокошки, пресни или охладени, обезкостени ;intrastat_unit_none
02071320;Половинки или четвъртинки от петли и кокошки, пресни или охладени;intrastat_unit_none
02071330;Цели крилца, дори без връхчетата, от петли и кокошки, пресни или охладени;intrastat_unit_none
02071340;Гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, от петли и кокошки, пресни или охладени;intrastat_unit_none
02071350;Гърди и разфасовки от тях от петли и кокошки, пресни или охладени, необезкостени ;intrastat_unit_none
02071360;Бутчета и разфасовки от тях от петли и кокошки, пресни или охладени, необезкостени ;intrastat_unit_none
02071370;Разфасовки от петли и кокошки, пресни или охладени, необезкостени (с изключение на половинки или четвъртинки, цели крилца, дори без връхчетата, гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, гърди и бутчета и разфасовки от тях);intrastat_unit_none
02071391;Черен дроб от петли и кокошки, пресен или охладен;intrastat_unit_none
02071399;Карантии, годни за консумация, от петли и кокошки, пресни или охладени (с изключение на черния дроб);intrastat_unit_none
02071410;Разфасовки от петли и кокошки, замразени, обезкостени;intrastat_unit_none
02071420;Половинки или четвъртинки от петли и кокошки, замразени;intrastat_unit_none
02071430;Цели крилца, дори без връхчетата, от петли и кокошки, замразени;intrastat_unit_none
02071440;Гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, от петли и кокошки, замразени;intrastat_unit_none
02071450;Гърди и разфасовки от тях, от петли и кокошки, замразени, необезкостени ;intrastat_unit_none
02071460;Бутчета и разфасовки от тях, от петли и кокошки, замразени, необезкостени ;intrastat_unit_none
02071470;Разфасовки от петли и кокошки, замразени, необезкостени (с изключение на половинки или четвъртинки, цели крилца, дори без връхчетата, гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, гърди и бутчета и разфасовки от тях);intrastat_unit_none
02071491;Черен дроб от петли и кокошки, замразен;intrastat_unit_none
02071499;Карантии, годни за консумация, от петли и кокошки, замразени (с изключение на черния дроб);intrastat_unit_none
02072410;Пуйки, неразфасовани, пресни или охладени, оскубани, изкормени, без глави и без крака, но с шийки, сърца, черен дроб и воденички, наречени „пуйки 80 %“;intrastat_unit_none
02072490;Пуйки, неразфасовани, пресни или охладени, оскубани, изкормени, без глави и без шийки, без крака, сърца, черен дроб и воденички, наречени „пуйки 73 %“ или представени по друг начин (с изключение на „пуйки 80 %“);intrastat_unit_none
02072510;Пуйки, неразфасовани, замразени, оскубани, изкормени, без глави и без крака, но с шийки, сърца, черен дроб и воденички, наречени „пуйки 80 %“;intrastat_unit_none
02072590;Пуйки, неразфасовани, замразени, оскубани, изкормени, без глави и  без шийки, без крака, сърца, черен дроб и воденички, наречени „пуйки 73 %“ или представени по друг начин (с изключение на  „пуйките 80 %“);intrastat_unit_none
02072610;Разфасовки от пуйки, пресни или охладени, обезкостени ;intrastat_unit_none
02072620;Половинки или четвъртинки от пуйки, пресни или охладени;intrastat_unit_none
02072630;Цели крилца, дори без връхчетата, от пуйки, пресни или охладени;intrastat_unit_none
02072640;Гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, от пуйки, пресни или охладени;intrastat_unit_none
02072650;Гърди и разфасовки от тях от пуйки, пресни или охладени, необезкостени ;intrastat_unit_none
02072660;Кълки и разфасовки от тях от пуйки, пресни или охладени, необезкостени ;intrastat_unit_none
02072670;Бутчета и разфасовки от тях от пуйки, пресни или охладени, необезкостени (с изключение на кълките);intrastat_unit_none
02072680;Разфасовки от пуйки, пресни или охладени, необезкостени (с изключение на половинки или четвъртинки, цели крилца, дори без връхчетата, гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, гърди, бутчета и кълки и разфасовки от тях);intrastat_unit_none
02072691;Черен дроб от пуйки, пресен или охладен;intrastat_unit_none
02072699;Карантии, годни за консумация, от пуйки, пресни или охладени (с изключение на черния дроб);intrastat_unit_none
02072710;Разфасовки от пуйки, замразени, обезкостени;intrastat_unit_none
02072720;Половинки или четвъртинки от пуйки, замразени;intrastat_unit_none
02072730;Цели крилца, дори без връхчетата, от пуйки, замразени;intrastat_unit_none
02072740;Гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, от пуйки, замразени;intrastat_unit_none
02072750;Гърди и разфасовки от тях, от пуйки, замразени, необезкостени ;intrastat_unit_none
02072760;Кълки и разфасовки от тях, от пуйки, замразени, необезкостени ;intrastat_unit_none
02072770;Бутчета и разфасовки от тях, от пуйки, замразени, необезкостени (с изключение на кълките);intrastat_unit_none
02072780;Разфасовки от пуйки, замразени, необезкостени (с изключение на половинки или четвъртинки, цели крилца, дори без връхчетата, гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, гърди, бутчета и кълки и разфасовки от тях);intrastat_unit_none
02072791;Черен дроб от пуйки, замразен;intrastat_unit_none
02072799;Карантии, годни за консумация, от пуйки, замразени (с изключение на черния дроб);intrastat_unit_none
02074120;Патици, неразфасовани, пресни или охладени, оскубани, обезкървени, но неизкормени, с главите и краката, наречени „патици 85 %“;intrastat_unit_none
02074130;Патици, неразфасовани, пресни или охладени, оскубани, изкормени, без глави и без крака, но с шийки, сърца, черен дроб и воденички, наречени „патици 70 %“ ;intrastat_unit_none
02074180;Патици, неразфасовани, пресни или охладени, оскубани,  изкормени, без глави и без крака и без шийки, сърца, черен дроб и воденички, наречени „патици 63 %“ или представени по друг начин (с изключение на „патици 85 %“ и „патици 70 %“ );intrastat_unit_none
02074230;Патици, неразфасовани, замразени, оскубани, изкормени, без глави и без крака, с шийки, сърца, черен дроб и воденички, наречени „патици 70 %“;intrastat_unit_none
02074280;Патици, неразфасовани, замразени, оскубани,  изкормени, без глави и без крака и без шийки, сърца, черен дроб и воденички, наречени „патици 63 %“ или представени по друг начин (с изключение на „патици 70 %“);intrastat_unit_none
02074300;Тлъст черен дроб от патици, пресен или охладен;intrastat_unit_none
02074410;Разфасовки от патици, пресни или охладени, обезкостени ;intrastat_unit_none
02074421;Половинки или четвъртинки от патици, пресни или охладени, необезкостени;intrastat_unit_none
02074431;Цели крилца, дори без връхчетата, от патици, пресни или охладени, необезкостени;intrastat_unit_none
02074441;Гръбчета, шийки, гръбчета с шийки, трътки, връхчета на крилца, от патици, пресни или охладени, необезкостени;intrastat_unit_none
02074451;Гърди и разфасовки от тях от патици, пресни или охладени, необезкостени ;intrastat_unit_none
