id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.06625,6625,l10n_bg.village,Brusino,HKV11-16,normal,base.bg,,False
l10n_bg.06639,6639,l10n_bg.village,Brusnik,PER08-00,normal,base.bg,,False
l10n_bg.06642,6642,l10n_bg.village,Branetsite,GAB05-09,normal,base.bg,,False
l10n_bg.06662,6662,l10n_bg.village,Brachkovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.06687,6687,l10n_bg.village,Brashlyan,BGS12-00,normal,base.bg,,False
l10n_bg.06793,6793,l10n_bg.village,Bryastovo,DOB03-03,normal,base.bg,,False
l10n_bg.06817,6817,l10n_bg.village,Bubino,HKV11-00,normal,base.bg,,False
l10n_bg.06851,6851,l10n_bg.village,Buzyakovtsi,SFO20-00,normal,base.bg,,False
l10n_bg.06919,6919,l10n_bg.village,Bukak,TGV02-00,normal,base.bg,,False
l10n_bg.06923,6923,l10n_bg.village,Bukata,SML31-00,normal,base.bg,,False
l10n_bg.02988,2988,l10n_bg.village,Bukatsite,SML31-00,normal,base.bg,,False
l10n_bg.06940,6940,l10n_bg.village,Bukovets,VTR04-00,normal,base.bg,,False
l10n_bg.06985,6985,l10n_bg.village,Bukovets,SFO43-00,normal,base.bg,,False
l10n_bg.07020,7020,l10n_bg.village,Bukorovtsi,SFO09-00,normal,base.bg,,False
l10n_bg.07048,7048,l10n_bg.village,Bunovo,KNL29-00,normal,base.bg,,False
l10n_bg.07096,7096,l10n_bg.village,Busintsi,PER51-00,normal,base.bg,,False
l10n_bg.07137,7137,l10n_bg.village,Butrointsi,PER51-00,normal,base.bg,,False
l10n_bg.07168,7168,l10n_bg.village,Buchino,BLG03-00,normal,base.bg,,False
l10n_bg.07185,7185,l10n_bg.village,Buchukovtsi,GAB12-02,normal,base.bg,,False
l10n_bg.07209,7209,l10n_bg.village,Bazovets,MON11-00,normal,base.bg,,False
l10n_bg.07226,7226,l10n_bg.village,Bazovitsa,KNL50-00,normal,base.bg,,False
l10n_bg.07288,7288,l10n_bg.village,Balgarene,SZR27-00,normal,base.bg,,False
l10n_bg.07291,7291,l10n_bg.village,Balgari,BGS13-00,normal,base.bg,,False
l10n_bg.07329,7329,l10n_bg.village,Balgarka,SLS31-00,normal,base.bg,,False
l10n_bg.07380,7380,l10n_bg.village,Banzareto,SZR22-00,normal,base.bg,,False
l10n_bg.07394,7394,l10n_bg.village,Bardarevo,VAR13-00,normal,base.bg,,False
l10n_bg.07404,7404,l10n_bg.village,Bardarite,GAB35-04,normal,base.bg,,False
l10n_bg.07421,7421,l10n_bg.village,Bardeni,GAB35-00,normal,base.bg,,False
l10n_bg.07435,7435,l10n_bg.village,Bardo,SFO20-00,normal,base.bg,,False
l10n_bg.07541,7541,l10n_bg.village,Barlozhnitsa,SFO45-00,normal,base.bg,,False
l10n_bg.07555,7555,l10n_bg.village,Barlya,SFO09-00,normal,base.bg,,False
l10n_bg.07627,7627,l10n_bg.village,Byala voda,BGS12-00,normal,base.bg,,False
l10n_bg.07795,7795,l10n_bg.village,Byalkovo,GAB05-00,normal,base.bg,,False
l10n_bg.07805,7805,l10n_bg.village,Byalkovtsi,VTR13-01,normal,base.bg,,False
l10n_bg.13069,13069,l10n_bg.village,Valevtsi,GAB29-00,normal,base.bg,,False
l10n_bg.10063,10063,l10n_bg.village,Valeto,VTR13-00,normal,base.bg,,False
l10n_bg.10080,10080,l10n_bg.village,Varana,PVN16-00,normal,base.bg,,False
l10n_bg.10152,10152,l10n_bg.village,Varnik,HKV28-00,normal,base.bg,,False
l10n_bg.10166,10166,l10n_bg.village,Varovnik,BGS06-00,normal,base.bg,,False
l10n_bg.10210,10210,l10n_bg.village,Vasil Levski,SLS01-00,normal,base.bg,,False
l10n_bg.10269,10269,l10n_bg.village,Vasilovtsi,SFO16-00,normal,base.bg,,False
l10n_bg.10286,10286,l10n_bg.village,Vaskovo,HKV17-00,normal,base.bg,,False
l10n_bg.10313,10313,l10n_bg.village,Vedrovo,BGS23-00,normal,base.bg,,False
l10n_bg.10330,10330,l10n_bg.village,Vekilski,SHU21-00,normal,base.bg,,False
l10n_bg.10344,10344,l10n_bg.village,Velentsi,GAB35-00,normal,base.bg,,False
l10n_bg.10361,10361,l10n_bg.village,Velika,BGS13-00,normal,base.bg,,False
l10n_bg.10375,10375,l10n_bg.village,Velikan,HKV09-00,normal,base.bg,,False
l10n_bg.10416,10416,l10n_bg.village,Velikovo,SZR07-00,normal,base.bg,,False
l10n_bg.10422,10422,l10n_bg.village,Velikovo,DOB12-00,normal,base.bg,,False
l10n_bg.10433,10433,l10n_bg.village,Velikovtsi,TGV02-00,normal,base.bg,,False
l10n_bg.10478,10478,l10n_bg.village,Velinovo,PER51-00,normal,base.bg,,False
l10n_bg.10519,10519,l10n_bg.village,Velkovo,GAB35-00,normal,base.bg,,False
l10n_bg.10522,10522,l10n_bg.village,Velkovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.10536,10536,l10n_bg.village,Velkovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.10553,10553,l10n_bg.village,Velchevo,VTR04-00,normal,base.bg,,False
l10n_bg.10570,10570,l10n_bg.village,Velchovtsi,GAB35-00,normal,base.bg,,False
l10n_bg.10584,10584,l10n_bg.village,Velyovo,TGV02-00,normal,base.bg,,False
l10n_bg.10598,10598,l10n_bg.village,Velyuvtsi,VTR13-00,normal,base.bg,,False
l10n_bg.10608,10608,l10n_bg.village,Velyushtets,BLG49-00,normal,base.bg,,False
l10n_bg.10639,10639,l10n_bg.village,Venets,SZR23-00,normal,base.bg,,False
l10n_bg.10656,10656,l10n_bg.village,Venkovets,SFO20-00,normal,base.bg,,False
l10n_bg.10745,10745,l10n_bg.village,Veselina,VTR13-00,normal,base.bg,,False
l10n_bg.10817,10817,l10n_bg.village,Vetren,KNL31-00,normal,base.bg,,False
l10n_bg.10879,10879,l10n_bg.village,Vetrintsi,VTR04-00,normal,base.bg,,False
l10n_bg.10896,10896,l10n_bg.village,Vetrovo,GAB05-00,normal,base.bg,,False
l10n_bg.10906,10906,l10n_bg.village,Vetrushka,HKV11-04,normal,base.bg,,False
l10n_bg.10937,10937,l10n_bg.village,Veshtitsa,VID01-00,normal,base.bg,,False
l10n_bg.10954,10954,l10n_bg.village,Viden,SZR24-00,normal,base.bg,,False
l10n_bg.10985,10985,l10n_bg.village,Vidintsi,JAM25-00,normal,base.bg,,False
l10n_bg.10999,10999,l10n_bg.village,Vidlitsa,MON14-00,normal,base.bg,,False
