id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.56589,56589,l10n_bg.village,Плазище,KRZ08-11,cityhall,base.bg,,False
l10n_bg.56602,56602,l10n_bg.village,Плаково,VTR04-24,cityhall,base.bg,,False
l10n_bg.56633,56633,l10n_bg.village,Планинец,HKV11-16,cityhall,base.bg,,False
l10n_bg.56647,56647,l10n_bg.village,Планиница,BGS18-18,cityhall,base.bg,,False
l10n_bg.56695,56695,l10n_bg.village,Плачидол,DOB15-44,cityhall,base.bg,,False
l10n_bg.56719,56719,l10n_bg.town,Плачковци,GAB35-04,cityhall,base.bg,,False
l10n_bg.55748,55748,l10n_bg.village,Плевун,HKV11-15,cityhall,base.bg,,False
l10n_bg.56740,56740,l10n_bg.village,Плетена,BLG42-10,cityhall,base.bg,,False
l10n_bg.56753,56753,l10n_bg.village,Плешивец,VID33-10,cityhall,base.bg,,False
l10n_bg.56767,56767,l10n_bg.village,Плешинци,KRZ21-33,cityhall,base.bg,,False
l10n_bg.56770,56770,l10n_bg.town,Плиска,SHU19-09,cityhall,base.bg,,False
l10n_bg.56798,56798,l10n_bg.village,Пловдивци,SML27-06,cityhall,base.bg,,False
l10n_bg.56808,56808,l10n_bg.village,Пловка,KRZ14-30,cityhall,base.bg,,False
l10n_bg.56811,56811,l10n_bg.village,Плодовитово,SZR04-16,cityhall,base.bg,,False
l10n_bg.56825,56825,l10n_bg.village,Плоска могила,SZR31-34,cityhall,base.bg,,False
l10n_bg.56839,56839,l10n_bg.village,Плоски,BLG40-34,cityhall,base.bg,,False
l10n_bg.56856,56856,l10n_bg.village,Плъстина,TGV22-30,cityhall,base.bg,,False
l10n_bg.21083,21083,l10n_bg.village,Победа,DOB15-17,cityhall,base.bg,,False
l10n_bg.56865,56865,l10n_bg.village,Победа,PVN10-10,cityhall,base.bg,,False
l10n_bg.56873,56873,l10n_bg.village,Победа,JAM25-30,cityhall,base.bg,,False
l10n_bg.56890,56890,l10n_bg.village,Побит камък,RAZ26-11,cityhall,base.bg,,False
l10n_bg.59224,59224,l10n_bg.village,Побит камък,PAZ39-03,cityhall,base.bg,,False
l10n_bg.56928,56928,l10n_bg.village,Повет,KRZ16-27,cityhall,base.bg,,False
l10n_bg.56945,56945,l10n_bg.village,Подайва,RAZ14-16,cityhall,base.bg,,False
l10n_bg.56959,56959,l10n_bg.village,Подвис,BGS23-15,cityhall,base.bg,,False
l10n_bg.56962,56962,l10n_bg.village,Подвис,SML31-23,cityhall,base.bg,,False
l10n_bg.56976,56976,l10n_bg.village,Подвръх,KRZ08-30,cityhall,base.bg,,False
l10n_bg.56980,56980,l10n_bg.village,Подгоре,VID25-03,cityhall,base.bg,,False
l10n_bg.15967,15967,l10n_bg.village,Подгорец,BGS18-04,cityhall,base.bg,,False
l10n_bg.57008,57008,l10n_bg.village,Подгорица,TGV35-28,cityhall,base.bg,,False
l10n_bg.57011,57011,l10n_bg.village,Подгумер,SOF46-46,cityhall,base.bg,,False
l10n_bg.57025,57025,l10n_bg.village,Подем,PVN10-11,cityhall,base.bg,,False
l10n_bg.57039,57039,l10n_bg.village,Подкова,KRZ14-31,cityhall,base.bg,,False
l10n_bg.57042,57042,l10n_bg.village,Подкрепа,HKV34-28,cityhall,base.bg,,False
l10n_bg.57056,57056,l10n_bg.village,Подлес,SLS07-18,cityhall,base.bg,,False
l10n_bg.57062,57062,l10n_bg.village,Подрумче,KRZ15-32,cityhall,base.bg,,False
l10n_bg.57073,57073,l10n_bg.village,Подслон,SZR31-35,cityhall,base.bg,,False
l10n_bg.57087,57087,l10n_bg.village,Подслон,DOB15-45,cityhall,base.bg,,False
l10n_bg.57100,57100,l10n_bg.village,Пожарево,SFO06-03,cityhall,base.bg,,False
l10n_bg.57128,57128,l10n_bg.village,Поибрене,PAZ20-06,cityhall,base.bg,,False
l10n_bg.57131,57131,l10n_bg.village,Покрайна,VID09-25,cityhall,base.bg,,False
l10n_bg.57159,57159,l10n_bg.village,Покровник,BLG03-18,cityhall,base.bg,,False
l10n_bg.57162,57162,l10n_bg.village,Полена,BLG44-07,cityhall,base.bg,,False
l10n_bg.57176,57176,l10n_bg.village,Поленица,BLG40-35,cityhall,base.bg,,False
l10n_bg.57203,57203,l10n_bg.village,Полето,BLG44-08,cityhall,base.bg,,False
l10n_bg.57217,57217,l10n_bg.village,Поликраище,VTR06-08,cityhall,base.bg,,False
l10n_bg.57234,57234,l10n_bg.village,Полковник Дяково,DOB20-11,cityhall,base.bg,,False
l10n_bg.57248,57248,l10n_bg.village,Полковник Желязово,KRZ15-33,cityhall,base.bg,,False
l10n_bg.59402,59402,l10n_bg.village,Полковник Минково,DOB15-51,cityhall,base.bg,,False
l10n_bg.57265,57265,l10n_bg.village,Полковник Савово,DOB27-20,cityhall,base.bg,,False
l10n_bg.57279,57279,l10n_bg.village,Полковник Свещарово,DOB15-46,cityhall,base.bg,,False
l10n_bg.57282,57282,l10n_bg.village,Полковник Серафимово,SML31-24,cityhall,base.bg,,False
l10n_bg.57296,57296,l10n_bg.village,Полковник Таслаково,SLS10-15,cityhall,base.bg,,False
l10n_bg.57306,57306,l10n_bg.village,Полковник Чолаково,SLS15-07,cityhall,base.bg,,False
l10n_bg.57323,57323,l10n_bg.village,Полски Градец,SZR27-15,cityhall,base.bg,,False
l10n_bg.57337,57337,l10n_bg.village,Полски извор,BGS08-07,cityhall,base.bg,,False
l10n_bg.57340,57340,l10n_bg.village,Полски Сеновец,VTR26-12,cityhall,base.bg,,False
l10n_bg.57368,57368,l10n_bg.village,Полско Косово,RSE04-09,cityhall,base.bg,,False
l10n_bg.57371,57371,l10n_bg.village,Полско Пъдарево,SLV16-35,cityhall,base.bg,,False
l10n_bg.57385,57385,l10n_bg.village,Поляна,SLS32-08,cityhall,base.bg,,False
l10n_bg.57409,57409,l10n_bg.village,Поляна,JAM22-23,cityhall,base.bg,,False
l10n_bg.57412,57412,l10n_bg.village,Полянец,KRZ08-31,cityhall,base.bg,,False
l10n_bg.57426,57426,l10n_bg.village,Поляново,BGS01-10,cityhall,base.bg,,False
l10n_bg.57434,57434,l10n_bg.village,Поляново,HKV33-16,cityhall,base.bg,,False
l10n_bg.57443,57443,l10n_bg.village,Полянци,SFO20-14,cityhall,base.bg,,False
l10n_bg.57457,57457,l10n_bg.village,Поляците,VAR16-11,cityhall,base.bg,,False
l10n_bg.57488,57488,l10n_bg.village,Помен,RSE08-08,cityhall,base.bg,,False
l10n_bg.57515,57515,l10n_bg.village,Помощник,SZR07-09,cityhall,base.bg,,False
l10n_bg.57563,57563,l10n_bg.village,Попгруево,DOB27-21,cityhall,base.bg,,False
l10n_bg.57577,57577,l10n_bg.village,Попина,SLS32-09,cityhall,base.bg,,False
l10n_bg.57580,57580,l10n_bg.village,Попинци,PAZ20-07,cityhall,base.bg,,False
l10n_bg.57594,57594,l10n_bg.village,Попица,VRC08-11,cityhall,base.bg,,False
l10n_bg.57618,57618,l10n_bg.village,Поповец,HKV30-20,cityhall,base.bg,,False
l10n_bg.57621,57621,l10n_bg.village,Поповица,PDV28-09,cityhall,base.bg,,False
l10n_bg.57635,57635,l10n_bg.village,Попович,VAR05-04,cityhall,base.bg,,False
l10n_bg.57652,57652,l10n_bg.village,Попово,JAM03-13,cityhall,base.bg,,False
l10n_bg.57675,57675,l10n_bg.village,Поповци,GAB05-23,cityhall,base.bg,,False
l10n_bg.57697,57697,l10n_bg.village,Поповяне,SFO39-18,cityhall,base.bg,,False
l10n_bg.59416,59416,l10n_bg.village,Пороище,RAZ26-12,cityhall,base.bg,,False
l10n_bg.57790,57790,l10n_bg.village,Порой,BGS17-15,cityhall,base.bg,,False
l10n_bg.57806,57806,l10n_bg.village,Поройна,PDV23-16,cityhall,base.bg,,False
l10n_bg.57813,57813,l10n_bg.village,Поройно,SLS10-16,cityhall,base.bg,,False
l10n_bg.57830,57830,l10n_bg.village,Пороминово,KNL27-07,cityhall,base.bg,,False
l10n_bg.57844,57844,l10n_bg.village,Портитовци,MON04-13,cityhall,base.bg,,False
l10n_bg.57875,57875,l10n_bg.village,Посабина,TGV24-28,cityhall,base.bg,,False
l10n_bg.57889,57889,l10n_bg.village,Посев,SLS15-11,cityhall,base.bg,,False
l10n_bg.57892,57892,l10n_bg.village,Постник,KRZ21-29,cityhall,base.bg,,False
l10n_bg.57933,57933,l10n_bg.village,Поточарка,KRZ15-67,cityhall,base.bg,,False
l10n_bg.57947,57947,l10n_bg.village,Поточе,KRZ08-12,cityhall,base.bg,,False
l10n_bg.57950,57950,l10n_bg.village,Поточница,KRZ15-34,cityhall,base.bg,,False
l10n_bg.57981,57981,l10n_bg.village,Правда,VTR06-09,cityhall,base.bg,,False
